"region","utbildningsnivå","ålder","kön","X2019"
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","55-64 år","män",390
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","55-64 år","kvinnor",364
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","65-74 år","män",275
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","65-74 år","kvinnor",364
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","75-84 år","män",137
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","75-84 år","kvinnor",176
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","85-94 år","män",25
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","85-94 år","kvinnor",34
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","95+ år","män",2
"Upplands Väsby","eftergymnasial utbildning, mindre än 3 år","95+ år","kvinnor",4
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","16-24 år","män",43
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","16-24 år","kvinnor",86
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","25-34 år","män",583
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","25-34 år","kvinnor",978
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","35-44 år","män",841
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","35-44 år","kvinnor",1177
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","45-54 år","män",550
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","45-54 år","kvinnor",860
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","55-64 år","män",359
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","55-64 år","kvinnor",431
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","65-74 år","män",283
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","65-74 år","kvinnor",386
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","75-84 år","män",182
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","75-84 år","kvinnor",221
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","85-94 år","män",33
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","85-94 år","kvinnor",38
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","95+ år","män",3
"Upplands Väsby","eftergymnasial utbildning, 3 år eller mer","95+ år","kvinnor",1
"Upplands Väsby","forskarutbildning","16-24 år","män",0
"Upplands Väsby","forskarutbildning","16-24 år","kvinnor",0
"Upplands Väsby","forskarutbildning","25-34 år","män",12
"Upplands Väsby","forskarutbildning","25-34 år","kvinnor",14
"Upplands Väsby","forskarutbildning","35-44 år","män",56
"Upplands Väsby","forskarutbildning","35-44 år","kvinnor",46
"Upplands Väsby","forskarutbildning","45-54 år","män",46
"Upplands Väsby","forskarutbildning","45-54 år","kvinnor",28
"Upplands Väsby","forskarutbildning","55-64 år","män",27
"Upplands Väsby","forskarutbildning","55-64 år","kvinnor",13
"Upplands Väsby","forskarutbildning","65-74 år","män",35
"Upplands Väsby","forskarutbildning","65-74 år","kvinnor",9
"Upplands Väsby","forskarutbildning","75-84 år","män",21
"Upplands Väsby","forskarutbildning","75-84 år","kvinnor",6
"Upplands Väsby","forskarutbildning","85-94 år","män",3
"Upplands Väsby","forskarutbildning","85-94 år","kvinnor",0
"Upplands Väsby","forskarutbildning","95+ år","män",0
"Upplands Väsby","forskarutbildning","95+ år","kvinnor",0
"Upplands Väsby","uppgift om utbildningsnivå saknas","16-24 år","män",181
"Upplands Väsby","uppgift om utbildningsnivå saknas","16-24 år","kvinnor",142
"Upplands Väsby","uppgift om utbildningsnivå saknas","25-34 år","män",222
"Upplands Väsby","uppgift om utbildningsnivå saknas","25-34 år","kvinnor",136
"Upplands Väsby","uppgift om utbildningsnivå saknas","35-44 år","män",196
"Upplands Väsby","uppgift om utbildningsnivå saknas","35-44 år","kvinnor",85
"Upplands Väsby","uppgift om utbildningsnivå saknas","45-54 år","män",93
"Upplands Väsby","uppgift om utbildningsnivå saknas","45-54 år","kvinnor",40
"Upplands Väsby","uppgift om utbildningsnivå saknas","55-64 år","män",33
"Upplands Väsby","uppgift om utbildningsnivå saknas","55-64 år","kvinnor",28
"Upplands Väsby","uppgift om utbildningsnivå saknas","65-74 år","män",23
"Upplands Väsby","uppgift om utbildningsnivå saknas","65-74 år","kvinnor",24
"Upplands Väsby","uppgift om utbildningsnivå saknas","75-84 år","män",14
"Upplands Väsby","uppgift om utbildningsnivå saknas","75-84 år","kvinnor",34
"Upplands Väsby","uppgift om utbildningsnivå saknas","85-94 år","män",9
"Upplands Väsby","uppgift om utbildningsnivå saknas","85-94 år","kvinnor",23
"Upplands Väsby","uppgift om utbildningsnivå saknas","95+ år","män",0
"Upplands Väsby","uppgift om utbildningsnivå saknas","95+ år","kvinnor",4
"Vallentuna","förgymnasial utbildning kortare än 9 år","16-24 år","män",21
"Vallentuna","förgymnasial utbildning kortare än 9 år","16-24 år","kvinnor",9
"Vallentuna","förgymnasial utbildning kortare än 9 år","25-34 år","män",22
"Vallentuna","förgymnasial utbildning kortare än 9 år","25-34 år","kvinnor",11
"Vallentuna","förgymnasial utbildning kortare än 9 år","35-44 år","män",27
"Vallentuna","förgymnasial utbildning kortare än 9 år","35-44 år","kvinnor",33
"Vallentuna","förgymnasial utbildning kortare än 9 år","45-54 år","män",13
"Vallentuna","förgymnasial utbildning kortare än 9 år","45-54 år","kvinnor",42
"Vallentuna","förgymnasial utbildning kortare än 9 år","55-64 år","män",34
"Vallentuna","förgymnasial utbildning kortare än 9 år","55-64 år","kvinnor",35
"Vallentuna","förgymnasial utbildning kortare än 9 år","65-74 år","män",97
"Vallentuna","förgymnasial utbildning kortare än 9 år","65-74 år","kvinnor",79
"Vallentuna","förgymnasial utbildning kortare än 9 år","75-84 år","män",188
"Vallentuna","förgymnasial utbildning kortare än 9 år","75-84 år","kvinnor",165
"Vallentuna","förgymnasial utbildning kortare än 9 år","85-94 år","män",58
"Vallentuna","förgymnasial utbildning kortare än 9 år","85-94 år","kvinnor",106
"Vallentuna","förgymnasial utbildning kortare än 9 år","95+ år","män",4
"Vallentuna","förgymnasial utbildning kortare än 9 år","95+ år","kvinnor",9
"Vallentuna","förgymnasial utbildning, 9 (10) år","16-24 år","män",788
"Vallentuna","förgymnasial utbildning, 9 (10) år","16-24 år","kvinnor",737
"Vallentuna","förgymnasial utbildning, 9 (10) år","25-34 år","män",205
"Vallentuna","förgymnasial utbildning, 9 (10) år","25-34 år","kvinnor",82
"Vallentuna","förgymnasial utbildning, 9 (10) år","35-44 år","män",184
"Vallentuna","förgymnasial utbildning, 9 (10) år","35-44 år","kvinnor",108
"Vallentuna","förgymnasial utbildning, 9 (10) år","45-54 år","män",189
"Vallentuna","förgymnasial utbildning, 9 (10) år","45-54 år","kvinnor",124
"Vallentuna","förgymnasial utbildning, 9 (10) år","55-64 år","män",266
"Vallentuna","förgymnasial utbildning, 9 (10) år","55-64 år","kvinnor",152
"Vallentuna","förgymnasial utbildning, 9 (10) år","65-74 år","män",187
"Vallentuna","förgymnasial utbildning, 9 (10) år","65-74 år","kvinnor",138
"Vallentuna","förgymnasial utbildning, 9 (10) år","75-84 år","män",46
"Vallentuna","förgymnasial utbildning, 9 (10) år","75-84 år","kvinnor",88
"Vallentuna","förgymnasial utbildning, 9 (10) år","85-94 år","män",6
"Vallentuna","förgymnasial utbildning, 9 (10) år","85-94 år","kvinnor",36
"Vallentuna","förgymnasial utbildning, 9 (10) år","95+ år","män",0
"Vallentuna","förgymnasial utbildning, 9 (10) år","95+ år","kvinnor",5
"Vallentuna","gymnasial utbildning, högst 2 år","16-24 år","män",36
"Vallentuna","gymnasial utbildning, högst 2 år","16-24 år","kvinnor",36
"Vallentuna","gymnasial utbildning, högst 2 år","25-34 år","män",106
"Vallentuna","gymnasial utbildning, högst 2 år","25-34 år","kvinnor",114
"Vallentuna","gymnasial utbildning, högst 2 år","35-44 år","män",176
"Vallentuna","gymnasial utbildning, högst 2 år","35-44 år","kvinnor",189
"Vallentuna","gymnasial utbildning, högst 2 år","45-54 år","män",811
"Vallentuna","gymnasial utbildning, högst 2 år","45-54 år","kvinnor",583
"Vallentuna","gymnasial utbildning, högst 2 år","55-64 år","män",629
"Vallentuna","gymnasial utbildning, högst 2 år","55-64 år","kvinnor",558
"Vallentuna","gymnasial utbildning, högst 2 år","65-74 år","män",330
"Vallentuna","gymnasial utbildning, högst 2 år","65-74 år","kvinnor",506
"Vallentuna","gymnasial utbildning, högst 2 år","75-84 år","män",201
"Vallentuna","gymnasial utbildning, högst 2 år","75-84 år","kvinnor",356
"Vallentuna","gymnasial utbildning, högst 2 år","85-94 år","män",26
"Vallentuna","gymnasial utbildning, högst 2 år","85-94 år","kvinnor",94
"Vallentuna","gymnasial utbildning, högst 2 år","95+ år","män",2
"Vallentuna","gymnasial utbildning, högst 2 år","95+ år","kvinnor",8
"Vallentuna","gymnasial utbildning, 3 år","16-24 år","män",736
"Vallentuna","gymnasial utbildning, 3 år","16-24 år","kvinnor",576
"Vallentuna","gymnasial utbildning, 3 år","25-34 år","män",873
"Vallentuna","gymnasial utbildning, 3 år","25-34 år","kvinnor",623
"Vallentuna","gymnasial utbildning, 3 år","35-44 år","män",791
"Vallentuna","gymnasial utbildning, 3 år","35-44 år","kvinnor",577
"Vallentuna","gymnasial utbildning, 3 år","45-54 år","män",433
"Vallentuna","gymnasial utbildning, 3 år","45-54 år","kvinnor",506
"Vallentuna","gymnasial utbildning, 3 år","55-64 år","män",285
"Vallentuna","gymnasial utbildning, 3 år","55-64 år","kvinnor",299
"Vallentuna","gymnasial utbildning, 3 år","65-74 år","män",256
"Vallentuna","gymnasial utbildning, 3 år","65-74 år","kvinnor",173
"Vallentuna","gymnasial utbildning, 3 år","75-84 år","män",218
"Vallentuna","gymnasial utbildning, 3 år","75-84 år","kvinnor",97
"Vallentuna","gymnasial utbildning, 3 år","85-94 år","män",47
"Vallentuna","gymnasial utbildning, 3 år","85-94 år","kvinnor",18
"Vallentuna","gymnasial utbildning, 3 år","95+ år","män",2
"Vallentuna","gymnasial utbildning, 3 år","95+ år","kvinnor",1
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","16-24 år","män",122
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","16-24 år","kvinnor",119
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","25-34 år","män",304
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","25-34 år","kvinnor",349
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","35-44 år","män",329
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","35-44 år","kvinnor",346
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","45-54 år","män",512
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","45-54 år","kvinnor",428
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","55-64 år","män",313
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","55-64 år","kvinnor",333
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","65-74 år","män",203
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","65-74 år","kvinnor",245
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","75-84 år","män",99
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","75-84 år","kvinnor",155
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","85-94 år","män",24
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","85-94 år","kvinnor",36
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","95+ år","män",1
"Vallentuna","eftergymnasial utbildning, mindre än 3 år","95+ år","kvinnor",1
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","16-24 år","män",29
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","16-24 år","kvinnor",41
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","25-34 år","män",274
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","25-34 år","kvinnor",551
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","35-44 år","män",664
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","35-44 år","kvinnor",1097
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","45-54 år","män",636
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","45-54 år","kvinnor",880
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","55-64 år","män",326
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","55-64 år","kvinnor",367
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","65-74 år","män",202
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","65-74 år","kvinnor",272
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","75-84 år","män",144
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","75-84 år","kvinnor",202
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","85-94 år","män",33
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","85-94 år","kvinnor",47
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","95+ år","män",1
"Vallentuna","eftergymnasial utbildning, 3 år eller mer","95+ år","kvinnor",2
"Vallentuna","forskarutbildning","16-24 år","män",0
"Vallentuna","forskarutbildning","16-24 år","kvinnor",0
"Vallentuna","forskarutbildning","25-34 år","män",9
"Vallentuna","forskarutbildning","25-34 år","kvinnor",8
"Vallentuna","forskarutbildning","35-44 år","män",45
"Vallentuna","forskarutbildning","35-44 år","kvinnor",47
"Vallentuna","forskarutbildning","45-54 år","män",71
"Vallentuna","forskarutbildning","45-54 år","kvinnor",50
"Vallentuna","forskarutbildning","55-64 år","män",48
"Vallentuna","forskarutbildning","55-64 år","kvinnor",24
"Vallentuna","forskarutbildning","65-74 år","män",25
"Vallentuna","forskarutbildning","65-74 år","kvinnor",6
"Vallentuna","forskarutbildning","75-84 år","män",33
"Vallentuna","forskarutbildning","75-84 år","kvinnor",7
"Vallentuna","forskarutbildning","85-94 år","män",5
"Vallentuna","forskarutbildning","85-94 år","kvinnor",3
"Vallentuna","forskarutbildning","95+ år","män",0
"Vallentuna","forskarutbildning","95+ år","kvinnor",0
"Vallentuna","uppgift om utbildningsnivå saknas","16-24 år","män",109
"Vallentuna","uppgift om utbildningsnivå saknas","16-24 år","kvinnor",72
"Vallentuna","uppgift om utbildningsnivå saknas","25-34 år","män",114
"Vallentuna","uppgift om utbildningsnivå saknas","25-34 år","kvinnor",68
"Vallentuna","uppgift om utbildningsnivå saknas","35-44 år","män",123
"Vallentuna","uppgift om utbildningsnivå saknas","35-44 år","kvinnor",38
"Vallentuna","uppgift om utbildningsnivå saknas","45-54 år","män",52
"Vallentuna","uppgift om utbildningsnivå saknas","45-54 år","kvinnor",21
"Vallentuna","uppgift om utbildningsnivå saknas","55-64 år","män",25
"Vallentuna","uppgift om utbildningsnivå saknas","55-64 år","kvinnor",14
"Vallentuna","uppgift om utbildningsnivå saknas","65-74 år","män",10
"Vallentuna","uppgift om utbildningsnivå saknas","65-74 år","kvinnor",17
"Vallentuna","uppgift om utbildningsnivå saknas","75-84 år","män",7
"Vallentuna","uppgift om utbildningsnivå saknas","75-84 år","kvinnor",4
"Vallentuna","uppgift om utbildningsnivå saknas","85-94 år","män",6
"Vallentuna","uppgift om utbildningsnivå saknas","85-94 år","kvinnor",5
"Vallentuna","uppgift om utbildningsnivå saknas","95+ år","män",3
"Vallentuna","uppgift om utbildningsnivå saknas","95+ år","kvinnor",4
"Österåker","förgymnasial utbildning kortare än 9 år","16-24 år","män",18
"Österåker","förgymnasial utbildning kortare än 9 år","16-24 år","kvinnor",10
"Österåker","förgymnasial utbildning kortare än 9 år","25-34 år","män",25
"Österåker","förgymnasial utbildning kortare än 9 år","25-34 år","kvinnor",24
"Österåker","förgymnasial utbildning kortare än 9 år","35-44 år","män",45
"Österåker","förgymnasial utbildning kortare än 9 år","35-44 år","kvinnor",46
"Österåker","förgymnasial utbildning kortare än 9 år","45-54 år","män",32
"Österåker","förgymnasial utbildning kortare än 9 år","45-54 år","kvinnor",36
"Österåker","förgymnasial utbildning kortare än 9 år","55-64 år","män",23
"Österåker","förgymnasial utbildning kortare än 9 år","55-64 år","kvinnor",28
"Österåker","förgymnasial utbildning kortare än 9 år","65-74 år","män",107
"Österåker","förgymnasial utbildning kortare än 9 år","65-74 år","kvinnor",96
"Österåker","förgymnasial utbildning kortare än 9 år","75-84 år","män",232
"Österåker","förgymnasial utbildning kortare än 9 år","75-84 år","kvinnor",207
"Österåker","förgymnasial utbildning kortare än 9 år","85-94 år","män",67
"Österåker","förgymnasial utbildning kortare än 9 år","85-94 år","kvinnor",128
"Österåker","förgymnasial utbildning kortare än 9 år","95+ år","män",5
"Österåker","förgymnasial utbildning kortare än 9 år","95+ år","kvinnor",20
"Österåker","förgymnasial utbildning, 9 (10) år","16-24 år","män",1095
"Österåker","förgymnasial utbildning, 9 (10) år","16-24 år","kvinnor",972
"Österåker","förgymnasial utbildning, 9 (10) år","25-34 år","män",230
"Österåker","förgymnasial utbildning, 9 (10) år","25-34 år","kvinnor",122
"Österåker","förgymnasial utbildning, 9 (10) år","35-44 år","män",263
"Österåker","förgymnasial utbildning, 9 (10) år","35-44 år","kvinnor",136
"Österåker","förgymnasial utbildning, 9 (10) år","45-54 år","män",288
"Österåker","förgymnasial utbildning, 9 (10) år","45-54 år","kvinnor",168
"Österåker","förgymnasial utbildning, 9 (10) år","55-64 år","män",349
"Österåker","förgymnasial utbildning, 9 (10) år","55-64 år","kvinnor",177
"Österåker","förgymnasial utbildning, 9 (10) år","65-74 år","män",337
"Österåker","förgymnasial utbildning, 9 (10) år","65-74 år","kvinnor",268
"Österåker","förgymnasial utbildning, 9 (10) år","75-84 år","män",100
"Österåker","förgymnasial utbildning, 9 (10) år","75-84 år","kvinnor",132
"Österåker","förgymnasial utbildning, 9 (10) år","85-94 år","män",11
"Österåker","förgymnasial utbildning, 9 (10) år","85-94 år","kvinnor",47
"Österåker","förgymnasial utbildning, 9 (10) år","95+ år","män",1
"Österåker","förgymnasial utbildning, 9 (10) år","95+ år","kvinnor",3
"Österåker","gymnasial utbildning, högst 2 år","16-24 år","män",64
"Österåker","gymnasial utbildning, högst 2 år","16-24 år","kvinnor",50
"Österåker","gymnasial utbildning, högst 2 år","25-34 år","män",191
"Österåker","gymnasial utbildning, högst 2 år","25-34 år","kvinnor",155
"Österåker","gymnasial utbildning, högst 2 år","35-44 år","män",271
"Österåker","gymnasial utbildning, högst 2 år","35-44 år","kvinnor",207
"Österåker","gymnasial utbildning, högst 2 år","45-54 år","män",1197
"Österåker","gymnasial utbildning, högst 2 år","45-54 år","kvinnor",802
"Österåker","gymnasial utbildning, högst 2 år","55-64 år","män",870
"Österåker","gymnasial utbildning, högst 2 år","55-64 år","kvinnor",749
"Österåker","gymnasial utbildning, högst 2 år","65-74 år","män",535
"Österåker","gymnasial utbildning, högst 2 år","65-74 år","kvinnor",786
"Österåker","gymnasial utbildning, högst 2 år","75-84 år","män",274
"Österåker","gymnasial utbildning, högst 2 år","75-84 år","kvinnor",566
"Österåker","gymnasial utbildning, högst 2 år","85-94 år","män",58
"Österåker","gymnasial utbildning, högst 2 år","85-94 år","kvinnor",144
"Österåker","gymnasial utbildning, högst 2 år","95+ år","män",2
"Österåker","gymnasial utbildning, högst 2 år","95+ år","kvinnor",18
"Österåker","gymnasial utbildning, 3 år","16-24 år","män",941
"Österåker","gymnasial utbildning, 3 år","16-24 år","kvinnor",766
"Österåker","gymnasial utbildning, 3 år","25-34 år","män",1116
"Österåker","gymnasial utbildning, 3 år","25-34 år","kvinnor",784
"Österåker","gymnasial utbildning, 3 år","35-44 år","män",928
"Österåker","gymnasial utbildning, 3 år","35-44 år","kvinnor",725
"Österåker","gymnasial utbildning, 3 år","45-54 år","män",621
"Österåker","gymnasial utbildning, 3 år","45-54 år","kvinnor",781
"Österåker","gymnasial utbildning, 3 år","55-64 år","män",333
"Österåker","gymnasial utbildning, 3 år","55-64 år","kvinnor",399
"Österåker","gymnasial utbildning, 3 år","65-74 år","män",484
"Österåker","gymnasial utbildning, 3 år","65-74 år","kvinnor",313
"Österåker","gymnasial utbildning, 3 år","75-84 år","män",362
"Österåker","gymnasial utbildning, 3 år","75-84 år","kvinnor",144
"Österåker","gymnasial utbildning, 3 år","85-94 år","män",82
"Österåker","gymnasial utbildning, 3 år","85-94 år","kvinnor",36
"Österåker","gymnasial utbildning, 3 år","95+ år","män",5
"Österåker","gymnasial utbildning, 3 år","95+ år","kvinnor",1
"Österåker","eftergymnasial utbildning, mindre än 3 år","16-24 år","män",136
"Österåker","eftergymnasial utbildning, mindre än 3 år","16-24 år","kvinnor",150
"Österåker","eftergymnasial utbildning, mindre än 3 år","25-34 år","män",371
"Österåker","eftergymnasial utbildning, mindre än 3 år","25-34 år","kvinnor",419
"Österåker","eftergymnasial utbildning, mindre än 3 år","35-44 år","män",444
"Österåker","eftergymnasial utbildning, mindre än 3 år","35-44 år","kvinnor",432
"Österåker","eftergymnasial utbildning, mindre än 3 år","45-54 år","män",643
"Österåker","eftergymnasial utbildning, mindre än 3 år","45-54 år","kvinnor",599
"Österåker","eftergymnasial utbildning, mindre än 3 år","55-64 år","män",473
"Österåker","eftergymnasial utbildning, mindre än 3 år","55-64 år","kvinnor",435
"Österåker","eftergymnasial utbildning, mindre än 3 år","65-74 år","män",341
