"region","hushållstyp","boendeform","X2019"
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","övrigt boende",0
"Upplands Väsby","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",30
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",1264
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",178
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",26
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",339
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",363
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","övrigt boende",0
"Upplands Väsby","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",41
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",473
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",44
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",6
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",103
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",211
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",0
"Upplands Väsby","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",12
"Upplands Väsby","övriga hushåll utan barn 0-24 år","småhus, äganderätt",400
"Upplands Väsby","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",24
"Upplands Väsby","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",21
"Upplands Väsby","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",477
"Upplands Väsby","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",636
"Upplands Väsby","övriga hushåll utan barn 0-24 år","specialbostad",16
"Upplands Väsby","övriga hushåll utan barn 0-24 år","övrigt boende",0
"Upplands Väsby","övriga hushåll utan barn 0-24 år","uppgift saknas",0
"Upplands Väsby","övriga hushåll med barn 0-24 år","småhus, äganderätt",273
"Upplands Väsby","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",32
"Upplands Väsby","övriga hushåll med barn 0-24 år","småhus, hyresrätt",15
"Upplands Väsby","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",250
"Upplands Väsby","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",414
"Upplands Väsby","övriga hushåll med barn 0-24 år","specialbostad",0
"Upplands Väsby","övriga hushåll med barn 0-24 år","övrigt boende",0
"Upplands Väsby","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Vallentuna","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",186
"Vallentuna","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",56
"Vallentuna","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",0
"Vallentuna","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",452
"Vallentuna","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",116
"Vallentuna","ensamstående kvinnor -64 år utan barn","specialbostad",30
"Vallentuna","ensamstående kvinnor -64 år utan barn","övrigt boende",6
"Vallentuna","ensamstående kvinnor -64 år utan barn","uppgift saknas",28
"Vallentuna","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",333
"Vallentuna","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",45
"Vallentuna","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",5
"Vallentuna","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",625
"Vallentuna","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",35
"Vallentuna","ensamstående kvinnor 65- år utan barn","specialbostad",68
"Vallentuna","ensamstående kvinnor 65- år utan barn","övrigt boende",0
"Vallentuna","ensamstående kvinnor 65- år utan barn","uppgift saknas",25
"Vallentuna","ensamstående män -64 år utan barn","småhus, äganderätt",388
"Vallentuna","ensamstående män -64 år utan barn","småhus, bostadsrätt",66
"Vallentuna","ensamstående män -64 år utan barn","småhus, hyresrätt",9
"Vallentuna","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",572
"Vallentuna","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",148
"Vallentuna","ensamstående män -64 år utan barn","specialbostad",49
"Vallentuna","ensamstående män -64 år utan barn","övrigt boende",5
"Vallentuna","ensamstående män -64 år utan barn","uppgift saknas",79
"Vallentuna","ensamstående män 65- år utan barn","småhus, äganderätt",248
"Vallentuna","ensamstående män 65- år utan barn","småhus, bostadsrätt",20
"Vallentuna","ensamstående män 65- år utan barn","småhus, hyresrätt",7
"Vallentuna","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",171
"Vallentuna","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",24
"Vallentuna","ensamstående män 65- år utan barn","specialbostad",21
"Vallentuna","ensamstående män 65- år utan barn","övrigt boende",5
"Vallentuna","ensamstående män 65- år utan barn","uppgift saknas",22
"Vallentuna","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",245
"Vallentuna","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",86
"Vallentuna","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",0
"Vallentuna","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",271
"Vallentuna","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",48
"Vallentuna","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Vallentuna","ensamstående kvinnor med barn 0-24 år","övrigt boende",5
"Vallentuna","ensamstående kvinnor med barn 0-24 år","uppgift saknas",12
"Vallentuna","ensamstående män med barn 0-24 år","småhus, äganderätt",196
"Vallentuna","ensamstående män med barn 0-24 år","småhus, bostadsrätt",20
"Vallentuna","ensamstående män med barn 0-24 år","småhus, hyresrätt",0
"Vallentuna","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",68
"Vallentuna","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",6
"Vallentuna","ensamstående män med barn 0-24 år","specialbostad",0
"Vallentuna","ensamstående män med barn 0-24 år","övrigt boende",0
"Vallentuna","ensamstående män med barn 0-24 år","uppgift saknas",0
"Vallentuna","sammanboende utan barn","småhus, äganderätt",2045
"Vallentuna","sammanboende utan barn","småhus, bostadsrätt",139
"Vallentuna","sammanboende utan barn","småhus, hyresrätt",11
"Vallentuna","sammanboende utan barn","flerbostadshus, bostadsrätt",702
"Vallentuna","sammanboende utan barn","flerbostadshus, hyresrätt",69
"Vallentuna","sammanboende utan barn","specialbostad",7
"Vallentuna","sammanboende utan barn","övrigt boende",0
"Vallentuna","sammanboende utan barn","uppgift saknas",0
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",822
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",66
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",0
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",168
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",29
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","övrigt boende",0
"Vallentuna","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",9
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",1893
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",121
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",5
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",165
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",16
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","specialbostad",5
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","övrigt boende",0
"Vallentuna","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",16
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",692
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",40
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",0
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",43
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",6
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",0
"Vallentuna","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",7
"Vallentuna","övriga hushåll utan barn 0-24 år","småhus, äganderätt",560
"Vallentuna","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",29
"Vallentuna","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",15
"Vallentuna","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",259
"Vallentuna","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",36
"Vallentuna","övriga hushåll utan barn 0-24 år","specialbostad",11
"Vallentuna","övriga hushåll utan barn 0-24 år","övrigt boende",5
"Vallentuna","övriga hushåll utan barn 0-24 år","uppgift saknas",0
"Vallentuna","övriga hushåll med barn 0-24 år","småhus, äganderätt",359
"Vallentuna","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",22
"Vallentuna","övriga hushåll med barn 0-24 år","småhus, hyresrätt",10
"Vallentuna","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",92
"Vallentuna","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",21
"Vallentuna","övriga hushåll med barn 0-24 år","specialbostad",0
"Vallentuna","övriga hushåll med barn 0-24 år","övrigt boende",0
"Vallentuna","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Österåker","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",307
"Österåker","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",99
"Österåker","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",24
"Österåker","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",338
"Österåker","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",262
"Österåker","ensamstående kvinnor -64 år utan barn","specialbostad",29
"Österåker","ensamstående kvinnor -64 år utan barn","övrigt boende",15
"Österåker","ensamstående kvinnor -64 år utan barn","uppgift saknas",109
"Österåker","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",524
"Österåker","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",77
"Österåker","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",17
"Österåker","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",468
"Österåker","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",317
"Österåker","ensamstående kvinnor 65- år utan barn","specialbostad",140
"Österåker","ensamstående kvinnor 65- år utan barn","övrigt boende",61
"Österåker","ensamstående kvinnor 65- år utan barn","uppgift saknas",58
"Österåker","ensamstående män -64 år utan barn","småhus, äganderätt",539
"Österåker","ensamstående män -64 år utan barn","småhus, bostadsrätt",82
"Österåker","ensamstående män -64 år utan barn","småhus, hyresrätt",39
"Österåker","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",416
"Österåker","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",372
"Österåker","ensamstående män -64 år utan barn","specialbostad",66
"Österåker","ensamstående män -64 år utan barn","övrigt boende",20
"Österåker","ensamstående män -64 år utan barn","uppgift saknas",200
"Österåker","ensamstående män 65- år utan barn","småhus, äganderätt",471
"Österåker","ensamstående män 65- år utan barn","småhus, bostadsrätt",36
"Österåker","ensamstående män 65- år utan barn","småhus, hyresrätt",10
"Österåker","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",146
"Österåker","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",121
"Österåker","ensamstående män 65- år utan barn","specialbostad",54
"Österåker","ensamstående män 65- år utan barn","övrigt boende",28
"Österåker","ensamstående män 65- år utan barn","uppgift saknas",33
"Österåker","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",356
"Österåker","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",101
"Österåker","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",17
"Österåker","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",139
"Österåker","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",172
"Österåker","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Österåker","ensamstående kvinnor med barn 0-24 år","övrigt boende",6
"Österåker","ensamstående kvinnor med barn 0-24 år","uppgift saknas",41
"Österåker","ensamstående män med barn 0-24 år","småhus, äganderätt",282
"Österåker","ensamstående män med barn 0-24 år","småhus, bostadsrätt",21
"Österåker","ensamstående män med barn 0-24 år","småhus, hyresrätt",6
"Österåker","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",38
"Österåker","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",41
"Österåker","ensamstående män med barn 0-24 år","specialbostad",0
"Österåker","ensamstående män med barn 0-24 år","övrigt boende",0
"Österåker","ensamstående män med barn 0-24 år","uppgift saknas",9
"Österåker","sammanboende utan barn","småhus, äganderätt",3116
"Österåker","sammanboende utan barn","småhus, bostadsrätt",146
"Österåker","sammanboende utan barn","småhus, hyresrätt",35
"Österåker","sammanboende utan barn","flerbostadshus, bostadsrätt",663
"Österåker","sammanboende utan barn","flerbostadshus, hyresrätt",249
"Österåker","sammanboende utan barn","specialbostad",9
"Österåker","sammanboende utan barn","övrigt boende",34
"Österåker","sammanboende utan barn","uppgift saknas",58
"Österåker","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",1092
"Österåker","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",80
"Österåker","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",7
"Österåker","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",100
"Österåker","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",92
"Österåker","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Österåker","sammanboende med barn 0-24 år, 1 barn","övrigt boende",0
"Österåker","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",71
"Österåker","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",2375
"Österåker","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",90
"Österåker","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",26
"Österåker","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",49
"Österåker","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",94
"Österåker","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Österåker","sammanboende med barn 0-24 år, 2 barn","övrigt boende",0
"Österåker","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",101
"Österåker","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",838
"Österåker","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",29
"Österåker","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",7
"Österåker","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",12
"Österåker","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",47
"Österåker","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Österåker","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",5
"Österåker","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",48
"Österåker","övriga hushåll utan barn 0-24 år","småhus, äganderätt",849
"Österåker","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",66
"Österåker","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",37
"Österåker","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",139
"Österåker","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",178
"Österåker","övriga hushåll utan barn 0-24 år","specialbostad",15
"Österåker","övriga hushåll utan barn 0-24 år","övrigt boende",15
"Österåker","övriga hushåll utan barn 0-24 år","uppgift saknas",12
"Österåker","övriga hushåll med barn 0-24 år","småhus, äganderätt",535
"Österåker","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",29
"Österåker","övriga hushåll med barn 0-24 år","småhus, hyresrätt",17
"Österåker","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",50
"Österåker","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",97
"Österåker","övriga hushåll med barn 0-24 år","specialbostad",0
"Österåker","övriga hushåll med barn 0-24 år","övrigt boende",0
"Österåker","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Värmdö","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",377
"Värmdö","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",30
"Värmdö","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",12
"Värmdö","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",507
"Värmdö","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",377
"Värmdö","ensamstående kvinnor -64 år utan barn","specialbostad",17
"Värmdö","ensamstående kvinnor -64 år utan barn","övrigt boende",8
"Värmdö","ensamstående kvinnor -64 år utan barn","uppgift saknas",80
"Värmdö","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",497
"Värmdö","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",27
"Värmdö","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",21
"Värmdö","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",502
"Värmdö","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",247
"Värmdö","ensamstående kvinnor 65- år utan barn","specialbostad",83
"Värmdö","ensamstående kvinnor 65- år utan barn","övrigt boende",14
"Värmdö","ensamstående kvinnor 65- år utan barn","uppgift saknas",30
"Värmdö","ensamstående män -64 år utan barn","småhus, äganderätt",718
"Värmdö","ensamstående män -64 år utan barn","småhus, bostadsrätt",17
"Värmdö","ensamstående män -64 år utan barn","småhus, hyresrätt",29
"Värmdö","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",536
"Värmdö","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",449
"Värmdö","ensamstående män -64 år utan barn","specialbostad",62
"Värmdö","ensamstående män -64 år utan barn","övrigt boende",22
"Värmdö","ensamstående män -64 år utan barn","uppgift saknas",181
"Värmdö","ensamstående män 65- år utan barn","småhus, äganderätt",595
"Värmdö","ensamstående män 65- år utan barn","småhus, bostadsrätt",10
"Värmdö","ensamstående män 65- år utan barn","småhus, hyresrätt",9
"Värmdö","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",135
"Värmdö","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",107
"Värmdö","ensamstående män 65- år utan barn","specialbostad",35
"Värmdö","ensamstående män 65- år utan barn","övrigt boende",8
"Värmdö","ensamstående män 65- år utan barn","uppgift saknas",28
"Värmdö","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",363
"Värmdö","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",36
"Värmdö","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",13
"Värmdö","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",286
"Värmdö","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",219
"Värmdö","ensamstående kvinnor med barn 0-24 år","specialbostad",7
"Värmdö","ensamstående kvinnor med barn 0-24 år","övrigt boende",7
"Värmdö","ensamstående kvinnor med barn 0-24 år","uppgift saknas",35
"Värmdö","ensamstående män med barn 0-24 år","småhus, äganderätt",260
"Värmdö","ensamstående män med barn 0-24 år","småhus, bostadsrätt",14
"Värmdö","ensamstående män med barn 0-24 år","småhus, hyresrätt",0
"Värmdö","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",88
"Värmdö","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",27
"Värmdö","ensamstående män med barn 0-24 år","specialbostad",0
"Värmdö","ensamstående män med barn 0-24 år","övrigt boende",0
"Värmdö","ensamstående män med barn 0-24 år","uppgift saknas",8
"Värmdö","sammanboende utan barn","småhus, äganderätt",2888
"Värmdö","sammanboende utan barn","småhus, bostadsrätt",87
"Värmdö","sammanboende utan barn","småhus, hyresrätt",26
"Värmdö","sammanboende utan barn","flerbostadshus, bostadsrätt",759
"Värmdö","sammanboende utan barn","flerbostadshus, hyresrätt",276
"Värmdö","sammanboende utan barn","specialbostad",10
"Värmdö","sammanboende utan barn","övrigt boende",40
"Värmdö","sammanboende utan barn","uppgift saknas",41
"Värmdö","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",1025
"Värmdö","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",85
"Värmdö","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",6
"Värmdö","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",219
"Värmdö","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",107
"Värmdö","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Värmdö","sammanboende med barn 0-24 år, 1 barn","övrigt boende",11
"Värmdö","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",45
"Värmdö","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",2228
"Värmdö","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",126
"Värmdö","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",12
"Värmdö","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",192
"Värmdö","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",91
"Värmdö","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Värmdö","sammanboende med barn 0-24 år, 2 barn","övrigt boende",14
"Värmdö","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",58
"Värmdö","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",739
"Värmdö","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",36
"Värmdö","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",7
"Värmdö","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",46
"Värmdö","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",46
