"region","ålder","kön","X2019"
"Upplands Väsby","29","kvinnor",377
"Upplands Väsby","30","män",346
"Upplands Väsby","30","kvinnor",343
"Upplands Väsby","31","män",356
"Upplands Väsby","31","kvinnor",338
"Upplands Väsby","32","män",332
"Upplands Väsby","32","kvinnor",332
"Upplands Väsby","33","män",381
"Upplands Väsby","33","kvinnor",347
"Upplands Väsby","34","män",349
"Upplands Väsby","34","kvinnor",320
"Upplands Väsby","35","män",348
"Upplands Väsby","35","kvinnor",342
"Upplands Väsby","36","män",349
"Upplands Väsby","36","kvinnor",336
"Upplands Väsby","37","män",357
"Upplands Väsby","37","kvinnor",319
"Upplands Väsby","38","män",350
"Upplands Väsby","38","kvinnor",338
"Upplands Väsby","39","män",358
"Upplands Väsby","39","kvinnor",333
"Upplands Väsby","40","män",343
"Upplands Väsby","40","kvinnor",302
"Upplands Väsby","41","män",334
"Upplands Väsby","41","kvinnor",310
"Upplands Väsby","42","män",341
"Upplands Väsby","42","kvinnor",332
"Upplands Väsby","43","män",306
"Upplands Väsby","43","kvinnor",314
"Upplands Väsby","44","män",338
"Upplands Väsby","44","kvinnor",310
"Upplands Väsby","45","män",378
"Upplands Väsby","45","kvinnor",323
"Upplands Väsby","46","män",350
"Upplands Väsby","46","kvinnor",340
"Upplands Väsby","47","män",373
"Upplands Väsby","47","kvinnor",347
"Upplands Väsby","48","män",366
"Upplands Väsby","48","kvinnor",319
"Upplands Väsby","49","män",346
"Upplands Väsby","49","kvinnor",305
"Upplands Väsby","50","män",301
"Upplands Väsby","50","kvinnor",298
"Upplands Väsby","51","män",299
"Upplands Väsby","51","kvinnor",341
"Upplands Väsby","52","män",317
"Upplands Väsby","52","kvinnor",281
"Upplands Väsby","53","män",341
"Upplands Väsby","53","kvinnor",339
"Upplands Väsby","54","män",344
"Upplands Väsby","54","kvinnor",307
"Upplands Väsby","55","män",313
"Upplands Väsby","55","kvinnor",314
"Upplands Väsby","56","män",297
"Upplands Väsby","56","kvinnor",269
"Upplands Väsby","57","män",283
"Upplands Väsby","57","kvinnor",256
"Upplands Väsby","58","män",258
"Upplands Väsby","58","kvinnor",233
"Upplands Väsby","59","män",210
"Upplands Väsby","59","kvinnor",244
"Upplands Väsby","60","män",238
"Upplands Väsby","60","kvinnor",224
"Upplands Väsby","61","män",207
"Upplands Väsby","61","kvinnor",213
"Upplands Väsby","62","män",231
"Upplands Väsby","62","kvinnor",221
"Upplands Väsby","63","män",202
"Upplands Väsby","63","kvinnor",181
"Upplands Väsby","64","män",187
"Upplands Väsby","64","kvinnor",205
"Upplands Väsby","65","män",203
"Upplands Väsby","65","kvinnor",211
"Upplands Väsby","66","män",187
"Upplands Väsby","66","kvinnor",209
"Upplands Väsby","67","män",182
"Upplands Väsby","67","kvinnor",211
"Upplands Väsby","68","män",177
"Upplands Väsby","68","kvinnor",246
"Upplands Väsby","69","män",199
"Upplands Väsby","69","kvinnor",194
"Upplands Väsby","70","män",192
"Upplands Väsby","70","kvinnor",233
"Upplands Väsby","71","män",187
"Upplands Väsby","71","kvinnor",248
"Upplands Väsby","72","män",235
"Upplands Väsby","72","kvinnor",251
"Upplands Väsby","73","män",190
"Upplands Väsby","73","kvinnor",227
"Upplands Väsby","74","män",207
"Upplands Väsby","74","kvinnor",253
"Upplands Väsby","75","män",180
"Upplands Väsby","75","kvinnor",217
"Upplands Väsby","76","män",178
"Upplands Väsby","76","kvinnor",201
"Upplands Väsby","77","män",158
"Upplands Väsby","77","kvinnor",210
"Upplands Väsby","78","män",125
"Upplands Väsby","78","kvinnor",161
"Upplands Väsby","79","män",145
"Upplands Väsby","79","kvinnor",150
"Upplands Väsby","80","män",111
"Upplands Väsby","80","kvinnor",162
"Upplands Väsby","81","män",90
"Upplands Väsby","81","kvinnor",121
"Upplands Väsby","82","män",80
"Upplands Väsby","82","kvinnor",120
"Upplands Väsby","83","män",85
"Upplands Väsby","83","kvinnor",107
"Upplands Väsby","84","män",64
"Upplands Väsby","84","kvinnor",93
"Upplands Väsby","85","män",54
"Upplands Väsby","85","kvinnor",69
"Upplands Väsby","86","män",39
"Upplands Väsby","86","kvinnor",63
"Upplands Väsby","87","män",50
"Upplands Väsby","87","kvinnor",57
"Upplands Väsby","88","män",29
"Upplands Väsby","88","kvinnor",54
"Upplands Väsby","89","män",30
"Upplands Väsby","89","kvinnor",52
"Upplands Väsby","90","män",24
"Upplands Väsby","90","kvinnor",35
"Upplands Väsby","91","män",12
"Upplands Väsby","91","kvinnor",39
"Upplands Väsby","92","män",12
"Upplands Väsby","92","kvinnor",27
"Upplands Väsby","93","män",11
"Upplands Väsby","93","kvinnor",22
"Upplands Väsby","94","män",12
"Upplands Väsby","94","kvinnor",21
"Upplands Väsby","95","män",5
"Upplands Väsby","95","kvinnor",13
"Upplands Väsby","96","män",5
"Upplands Väsby","96","kvinnor",11
"Upplands Väsby","97","män",2
"Upplands Väsby","97","kvinnor",6
"Upplands Väsby","98","män",2
"Upplands Väsby","98","kvinnor",8
"Upplands Väsby","99","män",0
"Upplands Väsby","99","kvinnor",4
"Upplands Väsby","100","män",1
"Upplands Väsby","100","kvinnor",3
"Vallentuna","0","män",160
"Vallentuna","0","kvinnor",170
"Vallentuna","1","män",190
"Vallentuna","1","kvinnor",194
"Vallentuna","2","män",219
"Vallentuna","2","kvinnor",201
"Vallentuna","3","män",241
"Vallentuna","3","kvinnor",207
"Vallentuna","4","män",246
"Vallentuna","4","kvinnor",233
"Vallentuna","5","män",252
"Vallentuna","5","kvinnor",255
"Vallentuna","6","män",261
"Vallentuna","6","kvinnor",252
"Vallentuna","7","män",263
"Vallentuna","7","kvinnor",268
"Vallentuna","8","män",281
"Vallentuna","8","kvinnor",250
"Vallentuna","9","män",301
"Vallentuna","9","kvinnor",257
"Vallentuna","10","män",269
"Vallentuna","10","kvinnor",233
"Vallentuna","11","män",242
"Vallentuna","11","kvinnor",279
"Vallentuna","12","män",280
"Vallentuna","12","kvinnor",231
"Vallentuna","13","män",263
"Vallentuna","13","kvinnor",228
"Vallentuna","14","män",270
"Vallentuna","14","kvinnor",264
"Vallentuna","15","män",259
"Vallentuna","15","kvinnor",245
"Vallentuna","16","män",235
"Vallentuna","16","kvinnor",224
"Vallentuna","17","män",252
"Vallentuna","17","kvinnor",234
"Vallentuna","18","män",224
"Vallentuna","18","kvinnor",211
"Vallentuna","19","män",205
"Vallentuna","19","kvinnor",201
"Vallentuna","20","män",230
"Vallentuna","20","kvinnor",139
"Vallentuna","21","män",174
"Vallentuna","21","kvinnor",177
"Vallentuna","22","män",179
"Vallentuna","22","kvinnor",124
"Vallentuna","23","män",160
"Vallentuna","23","kvinnor",143
"Vallentuna","24","män",182
"Vallentuna","24","kvinnor",137
"Vallentuna","25","män",200
"Vallentuna","25","kvinnor",152
"Vallentuna","26","män",187
"Vallentuna","26","kvinnor",139
"Vallentuna","27","män",168
"Vallentuna","27","kvinnor",186
"Vallentuna","28","män",200
"Vallentuna","28","kvinnor",154
"Vallentuna","29","män",176
"Vallentuna","29","kvinnor",203
"Vallentuna","30","män",183
"Vallentuna","30","kvinnor",178
"Vallentuna","31","män",215
"Vallentuna","31","kvinnor",188
"Vallentuna","32","män",177
"Vallentuna","32","kvinnor",179
"Vallentuna","33","män",190
"Vallentuna","33","kvinnor",218
"Vallentuna","34","män",211
"Vallentuna","34","kvinnor",209
"Vallentuna","35","män",202
"Vallentuna","35","kvinnor",205
"Vallentuna","36","män",201
"Vallentuna","36","kvinnor",195
"Vallentuna","37","män",215
"Vallentuna","37","kvinnor",231
"Vallentuna","38","män",231
"Vallentuna","38","kvinnor",247
"Vallentuna","39","män",232
"Vallentuna","39","kvinnor",259
"Vallentuna","40","män",250
"Vallentuna","40","kvinnor",276
"Vallentuna","41","män",233
"Vallentuna","41","kvinnor",246
"Vallentuna","42","män",216
"Vallentuna","42","kvinnor",243
"Vallentuna","43","män",286
"Vallentuna","43","kvinnor",286
"Vallentuna","44","män",273
"Vallentuna","44","kvinnor",247
"Vallentuna","45","män",290
"Vallentuna","45","kvinnor",256
"Vallentuna","46","män",307
"Vallentuna","46","kvinnor",310
"Vallentuna","47","män",291
"Vallentuna","47","kvinnor",276
"Vallentuna","48","män",273
"Vallentuna","48","kvinnor",294
"Vallentuna","49","män",252
"Vallentuna","49","kvinnor",223
"Vallentuna","50","män",231
"Vallentuna","50","kvinnor",266
"Vallentuna","51","män",261
"Vallentuna","51","kvinnor",229
"Vallentuna","52","män",258
"Vallentuna","52","kvinnor",262
"Vallentuna","53","män",270
"Vallentuna","53","kvinnor",264
"Vallentuna","54","män",284
"Vallentuna","54","kvinnor",254
"Vallentuna","55","män",246
"Vallentuna","55","kvinnor",243
"Vallentuna","56","män",206
"Vallentuna","56","kvinnor",193
"Vallentuna","57","män",210
"Vallentuna","57","kvinnor",218
"Vallentuna","58","män",206
"Vallentuna","58","kvinnor",198
"Vallentuna","59","män",190
"Vallentuna","59","kvinnor",175
"Vallentuna","60","män",166
"Vallentuna","60","kvinnor",157
"Vallentuna","61","män",182
"Vallentuna","61","kvinnor",175
"Vallentuna","62","män",199
"Vallentuna","62","kvinnor",157
"Vallentuna","63","män",160
"Vallentuna","63","kvinnor",139
"Vallentuna","64","män",161
"Vallentuna","64","kvinnor",127
"Vallentuna","65","män",140
"Vallentuna","65","kvinnor",136
"Vallentuna","66","män",135
"Vallentuna","66","kvinnor",147
"Vallentuna","67","män",132
"Vallentuna","67","kvinnor",144
"Vallentuna","68","män",132
"Vallentuna","68","kvinnor",134
"Vallentuna","69","män",121
"Vallentuna","69","kvinnor",124
"Vallentuna","70","män",134
"Vallentuna","70","kvinnor",137
"Vallentuna","71","män",134
"Vallentuna","71","kvinnor",149
"Vallentuna","72","män",125
"Vallentuna","72","kvinnor",159
"Vallentuna","73","män",121
"Vallentuna","73","kvinnor",143
"Vallentuna","74","män",136
"Vallentuna","74","kvinnor",163
"Vallentuna","75","män",145
"Vallentuna","75","kvinnor",165
"Vallentuna","76","män",126
"Vallentuna","76","kvinnor",157
"Vallentuna","77","män",110
"Vallentuna","77","kvinnor",141
"Vallentuna","78","män",123
"Vallentuna","78","kvinnor",116
"Vallentuna","79","män",88
"Vallentuna","79","kvinnor",108
"Vallentuna","80","män",95
"Vallentuna","80","kvinnor",83
"Vallentuna","81","män",77
"Vallentuna","81","kvinnor",78
"Vallentuna","82","män",69
"Vallentuna","82","kvinnor",84
"Vallentuna","83","män",56
"Vallentuna","83","kvinnor",89
"Vallentuna","84","män",47
"Vallentuna","84","kvinnor",53
"Vallentuna","85","män",40
"Vallentuna","85","kvinnor",59
"Vallentuna","86","män",33
"Vallentuna","86","kvinnor",44
"Vallentuna","87","män",30
"Vallentuna","87","kvinnor",48
"Vallentuna","88","män",32
"Vallentuna","88","kvinnor",50
"Vallentuna","89","män",25
"Vallentuna","89","kvinnor",28
"Vallentuna","90","män",12
"Vallentuna","90","kvinnor",27
"Vallentuna","91","män",7
"Vallentuna","91","kvinnor",29
"Vallentuna","92","män",11
"Vallentuna","92","kvinnor",21
"Vallentuna","93","män",10
"Vallentuna","93","kvinnor",19
"Vallentuna","94","män",5
"Vallentuna","94","kvinnor",20
"Vallentuna","95","män",6
"Vallentuna","95","kvinnor",9
"Vallentuna","96","män",3
"Vallentuna","96","kvinnor",3
"Vallentuna","97","män",2
"Vallentuna","97","kvinnor",6
"Vallentuna","98","män",2
"Vallentuna","98","kvinnor",7
"Vallentuna","99","män",0
"Vallentuna","99","kvinnor",4
"Vallentuna","100","män",0
"Vallentuna","100","kvinnor",1
"Österåker","0","män",224
"Österåker","0","kvinnor",221
"Österåker","1","män",245
"Österåker","1","kvinnor",248
"Österåker","2","män",276
"Österåker","2","kvinnor",266
"Österåker","3","män",302
"Österåker","3","kvinnor",280
"Österåker","4","män",312
"Österåker","4","kvinnor",272
"Österåker","5","män",318
"Österåker","5","kvinnor",307
"Österåker","6","män",296
"Österåker","6","kvinnor",269
"Österåker","7","män",289
"Österåker","7","kvinnor",310
"Österåker","8","män",322
"Österåker","8","kvinnor",326
"Österåker","9","män",354
"Österåker","9","kvinnor",313
"Österåker","10","män",329
"Österåker","10","kvinnor",289
"Österåker","11","män",334
"Österåker","11","kvinnor",284
"Österåker","12","män",330
"Österåker","12","kvinnor",306
"Österåker","13","män",319
"Österåker","13","kvinnor",353
"Österåker","14","män",320
"Österåker","14","kvinnor",333
"Österåker","15","män",365
"Österåker","15","kvinnor",321
"Österåker","16","män",357
"Österåker","16","kvinnor",317
"Österåker","17","män",337
"Österåker","17","kvinnor",290
"Österåker","18","män",303
"Österåker","18","kvinnor",273
"Österåker","19","män",304
"Österåker","19","kvinnor",261
"Österåker","20","män",253
"Österåker","20","kvinnor",210
"Österåker","21","män",246
"Österåker","21","kvinnor",200
"Österåker","22","män",212
"Österåker","22","kvinnor",182
"Österåker","23","män",237
"Österåker","23","kvinnor",180
"Österåker","24","män",211
"Österåker","24","kvinnor",182
"Österåker","25","män",242
"Österåker","25","kvinnor",210
"Österåker","26","män",263
"Österåker","26","kvinnor",197
"Österåker","27","män",256
"Österåker","27","kvinnor",196
"Österåker","28","män",243
"Österåker","28","kvinnor",238
"Österåker","29","män",254
"Österåker","29","kvinnor",230
"Österåker","30","män",233
"Österåker","30","kvinnor",222
"Österåker","31","män",256
"Österåker","31","kvinnor",270
"Österåker","32","män",245
"Österåker","32","kvinnor",265
"Österåker","33","män",266
"Österåker","33","kvinnor",259
"Österåker","34","män",263
"Österåker","34","kvinnor",265
"Österåker","35","män",291
"Österåker","35","kvinnor",253
"Österåker","36","män",239
"Österåker","36","kvinnor",258
"Österåker","37","män",270
"Österåker","37","kvinnor",272
"Österåker","38","män",292
"Österåker","38","kvinnor",242
"Österåker","39","män",313
"Österåker","39","kvinnor",297
"Österåker","40","män",282
"Österåker","40","kvinnor",281
"Österåker","41","män",295
"Österåker","41","kvinnor",279
"Österåker","42","män",308
"Österåker","42","kvinnor",305
"Österåker","43","män",289
"Österåker","43","kvinnor",334
"Österåker","44","män",314
"Österåker","44","kvinnor",335
"Österåker","45","män",387
"Österåker","45","kvinnor",367
"Österåker","46","män",350
"Österåker","46","kvinnor",389
"Österåker","47","män",379
"Österåker","47","kvinnor",415
"Österåker","48","män",407
"Österåker","48","kvinnor",356
"Österåker","49","män",380
"Österåker","49","kvinnor",374
"Österåker","50","män",332
"Österåker","50","kvinnor",340
"Österåker","51","män",381
"Österåker","51","kvinnor",366
"Österåker","52","män",346
"Österåker","52","kvinnor",344
"Österåker","53","män",376
"Österåker","53","kvinnor",340
"Österåker","54","män",364
"Österåker","54","kvinnor",330
"Österåker","55","män",346
"Österåker","55","kvinnor",308
"Österåker","56","män",338
"Österåker","56","kvinnor",289
"Österåker","57","män",265
"Österåker","57","kvinnor",265
"Österåker","58","män",277
"Österåker","58","kvinnor",224
"Österåker","59","män",281
"Österåker","59","kvinnor",229
"Österåker","60","män",217
"Österåker","60","kvinnor",205
"Österåker","61","män",224
"Österåker","61","kvinnor",208
"Österåker","62","män",238
"Österåker","62","kvinnor",221
"Österåker","63","män",211
"Österåker","63","kvinnor",226
"Österåker","64","män",183
"Österåker","64","kvinnor",214
"Österåker","65","män",215
"Österåker","65","kvinnor",208
"Österåker","66","män",187
"Österåker","66","kvinnor",213
"Österåker","67","män",226
"Österåker","67","kvinnor",198
"Österåker","68","män",209
"Österåker","68","kvinnor",219
"Österåker","69","män",210
"Österåker","69","kvinnor",212
"Österåker","70","män",228
"Österåker","70","kvinnor",230
"Österåker","71","män",229
"Österåker","71","kvinnor",252
"Österåker","72","män",229
"Österåker","72","kvinnor",245
"Österåker","73","män",250
"Österåker","73","kvinnor",286
"Österåker","74","män",255
"Österåker","74","kvinnor",264
"Österåker","75","män",250
"Österåker","75","kvinnor",272
"Österåker","76","män",222
"Österåker","76","kvinnor",233
"Österåker","77","män",190
"Österåker","77","kvinnor",202
"Österåker","78","män",150
"Österåker","78","kvinnor",171
"Österåker","79","män",155
"Österåker","79","kvinnor",136
"Österåker","80","män",140
"Österåker","80","kvinnor",143
"Österåker","81","män",114
"Österåker","81","kvinnor",132
"Österåker","82","män",90
"Österåker","82","kvinnor",117
"Österåker","83","män",85
"Österåker","83","kvinnor",99
"Österåker","84","män",78
"Österåker","84","kvinnor",73
"Österåker","85","män",54
"Österåker","85","kvinnor",80
"Österåker","86","män",54
"Österåker","86","kvinnor",71
"Österåker","87","män",55
"Österåker","87","kvinnor",59
"Österåker","88","män",28
"Österåker","88","kvinnor",48
"Österåker","89","män",28
"Österåker","89","kvinnor",53
"Österåker","90","män",25
"Österåker","90","kvinnor",57
"Österåker","91","män",33
"Österåker","91","kvinnor",36
"Österåker","92","män",18
"Österåker","92","kvinnor",32
"Österåker","93","män",11
"Österåker","93","kvinnor",26
"Österåker","94","män",8
"Österåker","94","kvinnor",14
"Österåker","95","män",7
"Österåker","95","kvinnor",18
"Österåker","96","män",2
"Österåker","96","kvinnor",8
"Österåker","97","män",5
"Österåker","97","kvinnor",4
"Österåker","98","män",0
"Österåker","98","kvinnor",8
"Österåker","99","män",1
"Österåker","99","kvinnor",7
"Österåker","100","män",0
"Österåker","100","kvinnor",5
"Värmdö","0","män",214
"Värmdö","0","kvinnor",207
"Värmdö","1","män",260
"Värmdö","1","kvinnor",239
"Värmdö","2","män",300
"Värmdö","2","kvinnor",245
"Värmdö","3","män",326
"Värmdö","3","kvinnor",296
"Värmdö","4","män",272
"Värmdö","4","kvinnor",298
"Värmdö","5","män",319
"Värmdö","5","kvinnor",304
"Värmdö","6","män",315
"Värmdö","6","kvinnor",289
"Värmdö","7","män",339
"Värmdö","7","kvinnor",295
"Värmdö","8","män",310
"Värmdö","8","kvinnor",296
"Värmdö","9","män",305
"Värmdö","9","kvinnor",334
"Värmdö","10","män",336
"Värmdö","10","kvinnor",303
"Värmdö","11","män",309
"Värmdö","11","kvinnor",300
"Värmdö","12","män",375
"Värmdö","12","kvinnor",310
"Värmdö","13","män",372
"Värmdö","13","kvinnor",350
"Värmdö","14","män",325
"Värmdö","14","kvinnor",297
"Värmdö","15","män",326
"Värmdö","15","kvinnor",313
"Värmdö","16","män",323
"Värmdö","16","kvinnor",323
"Värmdö","17","män",331
"Värmdö","17","kvinnor",312
"Värmdö","18","män",306
"Värmdö","18","kvinnor",256
"Värmdö","19","män",283
"Värmdö","19","kvinnor",226
"Värmdö","20","män",287
"Värmdö","20","kvinnor",232
"Värmdö","21","män",220
"Värmdö","21","kvinnor",196
"Värmdö","22","män",202
"Värmdö","22","kvinnor",182
"Värmdö","23","män",207
"Värmdö","23","kvinnor",207
"Värmdö","24","män",222
"Värmdö","24","kvinnor",184
"Värmdö","25","män",220
"Värmdö","25","kvinnor",224
"Värmdö","26","män",241
"Värmdö","26","kvinnor",216
"Värmdö","27","män",268
"Värmdö","27","kvinnor",229
"Värmdö","28","män",244
"Värmdö","28","kvinnor",240
"Värmdö","29","män",270
"Värmdö","29","kvinnor",271
"Värmdö","30","män",251
"Värmdö","30","kvinnor",239
"Värmdö","31","män",267
"Värmdö","31","kvinnor",270
"Värmdö","32","män",263
"Värmdö","32","kvinnor",264
"Värmdö","33","män",238
"Värmdö","33","kvinnor",259
"Värmdö","34","män",224
"Värmdö","34","kvinnor",275
"Värmdö","35","män",270
"Värmdö","35","kvinnor",247
"Värmdö","36","män",249
"Värmdö","36","kvinnor",245
"Värmdö","37","män",254
"Värmdö","37","kvinnor",254
"Värmdö","38","män",263
"Värmdö","38","kvinnor",276
"Värmdö","39","män",280
"Värmdö","39","kvinnor",314
"Värmdö","40","män",290
"Värmdö","40","kvinnor",312
"Värmdö","41","män",282
"Värmdö","41","kvinnor",309
"Värmdö","42","män",301
"Värmdö","42","kvinnor",319
"Värmdö","43","män",320
"Värmdö","43","kvinnor",300
"Värmdö","44","män",311
"Värmdö","44","kvinnor",319
"Värmdö","45","män",391
"Värmdö","45","kvinnor",397
"Värmdö","46","män",376
"Värmdö","46","kvinnor",344
"Värmdö","47","män",390
"Värmdö","47","kvinnor",403
"Värmdö","48","män",356
"Värmdö","48","kvinnor",432
"Värmdö","49","män",357
"Värmdö","49","kvinnor",374
"Värmdö","50","män",330
"Värmdö","50","kvinnor",331
"Värmdö","51","män",326
"Värmdö","51","kvinnor",348
"Värmdö","52","män",384
"Värmdö","52","kvinnor",329
"Värmdö","53","män",329
"Värmdö","53","kvinnor",364
"Värmdö","54","män",375
"Värmdö","54","kvinnor",343
"Värmdö","55","män",337
"Värmdö","55","kvinnor",324
"Värmdö","56","män",319
"Värmdö","56","kvinnor",294
"Värmdö","57","män",283
"Värmdö","57","kvinnor",273
"Värmdö","58","män",269
"Värmdö","58","kvinnor",275
"Värmdö","59","män",257
"Värmdö","59","kvinnor",223
"Värmdö","60","män",244
"Värmdö","60","kvinnor",248
"Värmdö","61","män",252
"Värmdö","61","kvinnor",249
"Värmdö","62","män",255
"Värmdö","62","kvinnor",206
"Värmdö","63","män",271
"Värmdö","63","kvinnor",244
"Värmdö","64","män",224
"Värmdö","64","kvinnor",192
"Värmdö","65","män",213
"Värmdö","65","kvinnor",208
"Värmdö","66","män",217
"Värmdö","66","kvinnor",217
"Värmdö","67","män",226
"Värmdö","67","kvinnor",192
"Värmdö","68","män",194
"Värmdö","68","kvinnor",193
"Värmdö","69","män",210
"Värmdö","69","kvinnor",200
"Värmdö","70","män",240
"Värmdö","70","kvinnor",249
"Värmdö","71","män",226
"Värmdö","71","kvinnor",248
"Värmdö","72","män",229
"Värmdö","72","kvinnor",247
"Värmdö","73","män",243
"Värmdö","73","kvinnor",241
"Värmdö","74","män",259
"Värmdö","74","kvinnor",224
"Värmdö","75","män",212
"Värmdö","75","kvinnor",231
"Värmdö","76","män",199
"Värmdö","76","kvinnor",159
"Värmdö","77","män",156
"Värmdö","77","kvinnor",176
"Värmdö","78","män",142
"Värmdö","78","kvinnor",146
"Värmdö","79","män",121
"Värmdö","79","kvinnor",120
"Värmdö","80","män",92
"Värmdö","80","kvinnor",93
"Värmdö","81","män",94
"Värmdö","81","kvinnor",84
"Värmdö","82","män",73
"Värmdö","82","kvinnor",79
"Värmdö","83","män",73
"Värmdö","83","kvinnor",86
"Värmdö","84","män",60
"Värmdö","84","kvinnor",71
"Värmdö","85","män",50
"Värmdö","85","kvinnor",56
"Värmdö","86","män",52
"Värmdö","86","kvinnor",51
"Värmdö","87","män",42
"Värmdö","87","kvinnor",53
"Värmdö","88","män",31
"Värmdö","88","kvinnor",45
"Värmdö","89","män",24
"Värmdö","89","kvinnor",43
"Värmdö","90","män",11
"Värmdö","90","kvinnor",34
"Värmdö","91","män",10
"Värmdö","91","kvinnor",26
"Värmdö","92","män",11
"Värmdö","92","kvinnor",28
"Värmdö","93","män",8
"Värmdö","93","kvinnor",15
"Värmdö","94","män",4
"Värmdö","94","kvinnor",19
"Värmdö","95","män",6
"Värmdö","95","kvinnor",13
"Värmdö","96","män",0
"Värmdö","96","kvinnor",14
"Värmdö","97","män",2
"Värmdö","97","kvinnor",8
"Värmdö","98","män",1
"Värmdö","98","kvinnor",3
"Värmdö","99","män",2
"Värmdö","99","kvinnor",5
"Värmdö","100","män",2
"Värmdö","100","kvinnor",4
"Järfälla","0","män",531
"Järfälla","0","kvinnor",519
"Järfälla","1","män",525
"Järfälla","1","kvinnor",480
"Järfälla","2","män",498
"Järfälla","2","kvinnor",505
"Järfälla","3","män",519
"Järfälla","3","kvinnor",553
"Järfälla","4","män",591
"Järfälla","4","kvinnor",507
"Järfälla","5","män",544
"Järfälla","5","kvinnor",489
"Järfälla","6","män",576
"Järfälla","6","kvinnor",509
"Järfälla","7","män",531
"Järfälla","7","kvinnor",501
"Järfälla","8","män",530
"Järfälla","8","kvinnor",490
"Järfälla","9","män",616
"Järfälla","9","kvinnor",472
"Järfälla","10","män",527
"Järfälla","10","kvinnor",508
"Järfälla","11","män",532
"Järfälla","11","kvinnor",509
"Järfälla","12","män",540
"Järfälla","12","kvinnor",494
"Järfälla","13","män",568
"Järfälla","13","kvinnor",473
"Järfälla","14","män",516
"Järfälla","14","kvinnor",480
"Järfälla","15","män",537
"Järfälla","15","kvinnor",480
"Järfälla","16","män",515
"Järfälla","16","kvinnor",478
"Järfälla","17","män",518
"Järfälla","17","kvinnor",430
"Järfälla","18","män",515
"Järfälla","18","kvinnor",447
"Järfälla","19","män",487
"Järfälla","19","kvinnor",406
"Järfälla","20","män",527
"Järfälla","20","kvinnor",385
"Järfälla","21","män",433
"Järfälla","21","kvinnor",424
"Järfälla","22","män",405
"Järfälla","22","kvinnor",394
"Järfälla","23","män",468
"Järfälla","23","kvinnor",453
"Järfälla","24","män",501
"Järfälla","24","kvinnor",468
"Järfälla","25","män",568
"Järfälla","25","kvinnor",497
"Järfälla","26","män",557
"Järfälla","26","kvinnor",571
"Järfälla","27","män",605
"Järfälla","27","kvinnor",554
"Järfälla","28","män",629
"Järfälla","28","kvinnor",596
"Järfälla","29","män",696
"Järfälla","29","kvinnor",589
"Järfälla","30","män",613
"Järfälla","30","kvinnor",569
"Järfälla","31","män",617
"Järfälla","31","kvinnor",573
"Järfälla","32","män",596
"Järfälla","32","kvinnor",571
"Järfälla","33","män",621
"Järfälla","33","kvinnor",602
"Järfälla","34","män",564
"Järfälla","34","kvinnor",573
"Järfälla","35","män",639
"Järfälla","35","kvinnor",552
"Järfälla","36","män",620
"Järfälla","36","kvinnor",536
"Järfälla","37","män",596
"Järfälla","37","kvinnor",526
"Järfälla","38","män",603
"Järfälla","38","kvinnor",520
"Järfälla","39","män",592
"Järfälla","39","kvinnor",604
"Järfälla","40","män",551
"Järfälla","40","kvinnor",536
"Järfälla","41","män",545
