"region","ålder","kön","födelseregion","X2019"
"Vallentuna","23","kvinnor","Född i Sverige",110
"Vallentuna","23","kvinnor","Utrikes född",33
"Vallentuna","24","män","Född i Sverige",147
"Vallentuna","24","män","Utrikes född",35
"Vallentuna","24","kvinnor","Född i Sverige",111
"Vallentuna","24","kvinnor","Utrikes född",26
"Vallentuna","25","män","Född i Sverige",171
"Vallentuna","25","män","Utrikes född",29
"Vallentuna","25","kvinnor","Född i Sverige",123
"Vallentuna","25","kvinnor","Utrikes född",29
"Österåker","12","män","Född i Sverige",281
"Österåker","12","män","Utrikes född",49
"Österåker","12","kvinnor","Född i Sverige",270
"Österåker","12","kvinnor","Utrikes född",36
"Österåker","13","män","Född i Sverige",282
"Österåker","13","män","Utrikes född",37
"Österåker","13","kvinnor","Född i Sverige",326
"Österåker","13","kvinnor","Utrikes född",27
"Österåker","14","män","Född i Sverige",289
"Österåker","14","män","Utrikes född",31
"Österåker","14","kvinnor","Född i Sverige",295
"Österåker","14","kvinnor","Utrikes född",38
"Österåker","15","män","Född i Sverige",324
"Österåker","15","män","Utrikes född",41
"Österåker","15","kvinnor","Född i Sverige",294
"Österåker","15","kvinnor","Utrikes född",27
"Österåker","16","män","Född i Sverige",322
"Österåker","16","män","Utrikes född",35
"Österåker","16","kvinnor","Född i Sverige",279
"Österåker","16","kvinnor","Utrikes född",38
"Österåker","17","män","Född i Sverige",313
"Österåker","17","män","Utrikes född",24
"Österåker","17","kvinnor","Född i Sverige",241
"Österåker","17","kvinnor","Utrikes född",49
"Österåker","18","män","Född i Sverige",263
"Österåker","18","män","Utrikes född",40
"Österåker","18","kvinnor","Född i Sverige",234
"Österåker","18","kvinnor","Utrikes född",39
"Österåker","19","män","Född i Sverige",247
"Österåker","19","män","Utrikes född",57
"Österåker","19","kvinnor","Född i Sverige",218
"Österåker","19","kvinnor","Utrikes född",43
"Österåker","20","män","Född i Sverige",186
"Österåker","20","män","Utrikes född",67
"Österåker","20","kvinnor","Född i Sverige",189
"Österåker","20","kvinnor","Utrikes född",21
"Österåker","21","män","Född i Sverige",195
"Österåker","21","män","Utrikes född",51
"Österåker","21","kvinnor","Född i Sverige",173
"Österåker","21","kvinnor","Utrikes född",27
"Österåker","22","män","Född i Sverige",171
"Österåker","22","män","Utrikes född",41
"Österåker","22","kvinnor","Född i Sverige",151
"Österåker","22","kvinnor","Utrikes född",31
"Österåker","23","män","Född i Sverige",197
"Österåker","23","män","Utrikes född",40
"Österåker","23","kvinnor","Född i Sverige",147
"Österåker","23","kvinnor","Utrikes född",33
"Österåker","24","män","Född i Sverige",174
"Österåker","24","män","Utrikes född",37
"Österåker","24","kvinnor","Född i Sverige",151
"Österåker","24","kvinnor","Utrikes född",31
"Österåker","25","män","Född i Sverige",206
"Österåker","25","män","Utrikes född",36
"Österåker","25","kvinnor","Född i Sverige",172
"Österåker","25","kvinnor","Utrikes född",38
"Värmdö","12","män","Född i Sverige",345
"Värmdö","12","män","Utrikes född",30
"Värmdö","12","kvinnor","Född i Sverige",290
"Värmdö","12","kvinnor","Utrikes född",20
"Värmdö","13","män","Född i Sverige",341
"Värmdö","13","män","Utrikes född",31
"Värmdö","13","kvinnor","Född i Sverige",320
"Värmdö","13","kvinnor","Utrikes född",30
"Värmdö","14","män","Född i Sverige",301
"Värmdö","14","män","Utrikes född",24
"Värmdö","14","kvinnor","Född i Sverige",281
"Värmdö","14","kvinnor","Utrikes född",16
"Värmdö","15","män","Född i Sverige",294
"Värmdö","15","män","Utrikes född",32
"Värmdö","15","kvinnor","Född i Sverige",284
"Värmdö","15","kvinnor","Utrikes född",29
"Värmdö","16","män","Född i Sverige",294
"Värmdö","16","män","Utrikes född",29
"Värmdö","16","kvinnor","Född i Sverige",298
"Värmdö","16","kvinnor","Utrikes född",25
"Värmdö","17","män","Född i Sverige",300
"Värmdö","17","män","Utrikes född",31
"Värmdö","17","kvinnor","Född i Sverige",291
"Värmdö","17","kvinnor","Utrikes född",21
"Värmdö","18","män","Född i Sverige",270
"Värmdö","18","män","Utrikes född",36
"Värmdö","18","kvinnor","Född i Sverige",227
"Värmdö","18","kvinnor","Utrikes född",29
"Värmdö","19","män","Född i Sverige",240
"Värmdö","19","män","Utrikes född",43
"Värmdö","19","kvinnor","Född i Sverige",198
"Värmdö","19","kvinnor","Utrikes född",28
"Värmdö","20","män","Född i Sverige",211
"Värmdö","20","män","Utrikes född",76
"Värmdö","20","kvinnor","Född i Sverige",215
"Värmdö","20","kvinnor","Utrikes född",17
"Värmdö","21","män","Född i Sverige",170
"Värmdö","21","män","Utrikes född",50
"Värmdö","21","kvinnor","Född i Sverige",178
"Värmdö","21","kvinnor","Utrikes född",18
"Värmdö","22","män","Född i Sverige",170
"Värmdö","22","män","Utrikes född",32
"Värmdö","22","kvinnor","Född i Sverige",152
"Värmdö","22","kvinnor","Utrikes född",30
"Värmdö","23","män","Född i Sverige",171
"Värmdö","23","män","Utrikes född",36
"Värmdö","23","kvinnor","Född i Sverige",175
"Värmdö","23","kvinnor","Utrikes född",32
"Värmdö","24","män","Född i Sverige",184
"Värmdö","24","män","Utrikes född",38
"Värmdö","24","kvinnor","Född i Sverige",152
"Värmdö","24","kvinnor","Utrikes född",32
"Värmdö","25","män","Född i Sverige",188
"Värmdö","25","män","Utrikes född",32
"Värmdö","25","kvinnor","Född i Sverige",190
"Värmdö","25","kvinnor","Utrikes född",34
"Järfälla","12","män","Född i Sverige",487
"Järfälla","12","män","Utrikes född",53
"Järfälla","12","kvinnor","Född i Sverige",411
"Järfälla","12","kvinnor","Utrikes född",83
"Järfälla","13","män","Född i Sverige",484
"Järfälla","13","män","Utrikes född",84
"Järfälla","13","kvinnor","Född i Sverige",410
"Järfälla","13","kvinnor","Utrikes född",63
"Järfälla","14","män","Född i Sverige",429
"Järfälla","14","män","Utrikes född",87
"Järfälla","14","kvinnor","Född i Sverige",391
"Järfälla","14","kvinnor","Utrikes född",89
"Järfälla","15","män","Född i Sverige",457
"Järfälla","15","män","Utrikes född",80
"Järfälla","15","kvinnor","Född i Sverige",406
"Järfälla","15","kvinnor","Utrikes född",74
"Järfälla","16","män","Född i Sverige",423
"Järfälla","16","män","Utrikes född",92
"Järfälla","16","kvinnor","Född i Sverige",382
"Järfälla","16","kvinnor","Utrikes född",96
"Järfälla","17","män","Född i Sverige",423
"Järfälla","17","män","Utrikes född",95
"Järfälla","17","kvinnor","Född i Sverige",330
"Järfälla","17","kvinnor","Utrikes född",100
"Järfälla","18","män","Född i Sverige",391
"Järfälla","18","män","Utrikes född",124
"Järfälla","18","kvinnor","Född i Sverige",356
"Järfälla","18","kvinnor","Utrikes född",91
"Järfälla","19","män","Född i Sverige",331
"Järfälla","19","män","Utrikes född",156
"Järfälla","19","kvinnor","Född i Sverige",305
"Järfälla","19","kvinnor","Utrikes född",101
"Järfälla","20","män","Född i Sverige",343
"Järfälla","20","män","Utrikes född",184
"Järfälla","20","kvinnor","Född i Sverige",287
"Järfälla","20","kvinnor","Utrikes född",98
"Järfälla","21","män","Född i Sverige",308
"Järfälla","21","män","Utrikes född",125
"Järfälla","21","kvinnor","Född i Sverige",309
"Järfälla","21","kvinnor","Utrikes född",115
"Järfälla","22","män","Född i Sverige",282
"Järfälla","22","män","Utrikes född",123
"Järfälla","22","kvinnor","Född i Sverige",261
"Järfälla","22","kvinnor","Utrikes född",133
"Järfälla","23","män","Född i Sverige",334
"Järfälla","23","män","Utrikes född",134
"Järfälla","23","kvinnor","Född i Sverige",321
"Järfälla","23","kvinnor","Utrikes född",132
"Järfälla","24","män","Född i Sverige",354
"Järfälla","24","män","Utrikes född",147
"Järfälla","24","kvinnor","Född i Sverige",325
"Järfälla","24","kvinnor","Utrikes född",143
"Järfälla","25","män","Född i Sverige",389
"Järfälla","25","män","Utrikes född",179
"Järfälla","25","kvinnor","Född i Sverige",343
"Järfälla","25","kvinnor","Utrikes född",154
"Ekerö","12","män","Född i Sverige",230
"Ekerö","12","män","Utrikes född",21
"Ekerö","12","kvinnor","Född i Sverige",227
"Ekerö","12","kvinnor","Utrikes född",27
"Ekerö","13","män","Född i Sverige",231
"Ekerö","13","män","Utrikes född",22
"Ekerö","13","kvinnor","Född i Sverige",176
"Ekerö","13","kvinnor","Utrikes född",19
"Ekerö","14","män","Född i Sverige",229
"Ekerö","14","män","Utrikes född",19
"Ekerö","14","kvinnor","Född i Sverige",201
"Ekerö","14","kvinnor","Utrikes född",25
"Ekerö","15","män","Född i Sverige",195
"Ekerö","15","män","Utrikes född",14
"Ekerö","15","kvinnor","Född i Sverige",201
"Ekerö","15","kvinnor","Utrikes född",19
"Ekerö","16","män","Född i Sverige",220
"Ekerö","16","män","Utrikes född",24
"Ekerö","16","kvinnor","Född i Sverige",170
"Ekerö","16","kvinnor","Utrikes född",18
"Ekerö","17","män","Född i Sverige",206
"Ekerö","17","män","Utrikes född",24
"Ekerö","17","kvinnor","Född i Sverige",191
"Ekerö","17","kvinnor","Utrikes född",22
"Ekerö","18","män","Född i Sverige",177
"Ekerö","18","män","Utrikes född",26
"Ekerö","18","kvinnor","Född i Sverige",164
"Ekerö","18","kvinnor","Utrikes född",20
"Ekerö","19","män","Född i Sverige",143
"Ekerö","19","män","Utrikes född",20
"Ekerö","19","kvinnor","Född i Sverige",143
"Ekerö","19","kvinnor","Utrikes född",14
"Ekerö","20","män","Född i Sverige",125
"Ekerö","20","män","Utrikes född",48
"Ekerö","20","kvinnor","Född i Sverige",105
"Ekerö","20","kvinnor","Utrikes född",14
"Ekerö","21","män","Född i Sverige",129
"Ekerö","21","män","Utrikes född",20
"Ekerö","21","kvinnor","Född i Sverige",93
"Ekerö","21","kvinnor","Utrikes född",11
"Ekerö","22","män","Född i Sverige",87
"Ekerö","22","män","Utrikes född",15
"Ekerö","22","kvinnor","Född i Sverige",78
"Ekerö","22","kvinnor","Utrikes född",17
"Ekerö","23","män","Född i Sverige",91
"Ekerö","23","män","Utrikes född",16
"Ekerö","23","kvinnor","Född i Sverige",62
"Ekerö","23","kvinnor","Utrikes född",17
"Ekerö","24","män","Född i Sverige",101
"Ekerö","24","män","Utrikes född",11
"Ekerö","24","kvinnor","Född i Sverige",79
"Ekerö","24","kvinnor","Utrikes född",15
"Ekerö","25","män","Född i Sverige",88
"Ekerö","25","män","Utrikes född",17
"Ekerö","25","kvinnor","Född i Sverige",74
"Ekerö","25","kvinnor","Utrikes född",13
"Huddinge","12","män","Född i Sverige",687
"Huddinge","12","män","Utrikes född",124
"Huddinge","12","kvinnor","Född i Sverige",667
"Huddinge","12","kvinnor","Utrikes född",80
"Huddinge","13","män","Född i Sverige",726
"Huddinge","13","män","Utrikes född",98
"Huddinge","13","kvinnor","Född i Sverige",680
"Huddinge","13","kvinnor","Utrikes född",92
"Huddinge","14","män","Född i Sverige",676
"Huddinge","14","män","Utrikes född",103
"Huddinge","14","kvinnor","Född i Sverige",636
"Huddinge","14","kvinnor","Utrikes född",123
"Huddinge","15","män","Född i Sverige",662
"Huddinge","15","män","Utrikes född",121
"Huddinge","15","kvinnor","Född i Sverige",655
"Huddinge","15","kvinnor","Utrikes född",99
"Huddinge","16","män","Född i Sverige",646
"Huddinge","16","män","Utrikes född",121
"Huddinge","16","kvinnor","Född i Sverige",630
"Huddinge","16","kvinnor","Utrikes född",93
"Huddinge","17","män","Född i Sverige",559
"Huddinge","17","män","Utrikes född",128
"Huddinge","17","kvinnor","Född i Sverige",580
"Huddinge","17","kvinnor","Utrikes född",102
"Huddinge","18","män","Född i Sverige",597
"Huddinge","18","män","Utrikes född",140
"Huddinge","18","kvinnor","Född i Sverige",519
"Huddinge","18","kvinnor","Utrikes född",108
"Huddinge","19","män","Född i Sverige",539
"Huddinge","19","män","Utrikes född",190
"Huddinge","19","kvinnor","Född i Sverige",529
"Huddinge","19","kvinnor","Utrikes född",139
"Huddinge","20","män","Född i Sverige",433
"Huddinge","20","män","Utrikes född",239
"Huddinge","20","kvinnor","Född i Sverige",485
"Huddinge","20","kvinnor","Utrikes född",133
"Huddinge","21","män","Född i Sverige",486
"Huddinge","21","män","Utrikes född",155
"Huddinge","21","kvinnor","Född i Sverige",464
"Huddinge","21","kvinnor","Utrikes född",148
"Huddinge","22","män","Född i Sverige",488
"Huddinge","22","män","Utrikes född",192
"Huddinge","22","kvinnor","Född i Sverige",443
"Huddinge","22","kvinnor","Utrikes född",187
"Huddinge","23","män","Född i Sverige",452
"Huddinge","23","män","Utrikes född",203
"Huddinge","23","kvinnor","Född i Sverige",451
"Huddinge","23","kvinnor","Utrikes född",212
"Huddinge","24","män","Född i Sverige",528
"Huddinge","24","män","Utrikes född",210
"Huddinge","24","kvinnor","Född i Sverige",453
"Huddinge","24","kvinnor","Utrikes född",231
"Huddinge","25","män","Född i Sverige",536
"Huddinge","25","män","Utrikes född",265
"Huddinge","25","kvinnor","Född i Sverige",463
"Huddinge","25","kvinnor","Utrikes född",236
"Botkyrka","12","män","Född i Sverige",527
"Botkyrka","12","män","Utrikes född",111
"Botkyrka","12","kvinnor","Född i Sverige",478
"Botkyrka","12","kvinnor","Utrikes född",104
"Botkyrka","13","män","Född i Sverige",514
"Botkyrka","13","män","Utrikes född",120
"Botkyrka","13","kvinnor","Född i Sverige",492
"Botkyrka","13","kvinnor","Utrikes född",116
"Botkyrka","14","män","Född i Sverige",497
"Botkyrka","14","män","Utrikes född",113
"Botkyrka","14","kvinnor","Född i Sverige",463
"Botkyrka","14","kvinnor","Utrikes född",145
"Botkyrka","15","män","Född i Sverige",508
"Botkyrka","15","män","Utrikes född",141
"Botkyrka","15","kvinnor","Född i Sverige",459
"Botkyrka","15","kvinnor","Utrikes född",122
"Botkyrka","16","män","Född i Sverige",527
"Botkyrka","16","män","Utrikes född",132
"Botkyrka","16","kvinnor","Född i Sverige",466
"Botkyrka","16","kvinnor","Utrikes född",127
"Botkyrka","17","män","Född i Sverige",477
"Botkyrka","17","män","Utrikes född",126
"Botkyrka","17","kvinnor","Född i Sverige",412
"Botkyrka","17","kvinnor","Utrikes född",139
"Botkyrka","18","män","Född i Sverige",437
"Botkyrka","18","män","Utrikes född",166
"Botkyrka","18","kvinnor","Född i Sverige",397
"Botkyrka","18","kvinnor","Utrikes född",144
"Botkyrka","19","män","Född i Sverige",435
"Botkyrka","19","män","Utrikes född",187
"Botkyrka","19","kvinnor","Född i Sverige",392
"Botkyrka","19","kvinnor","Utrikes född",156
"Botkyrka","20","män","Född i Sverige",378
"Botkyrka","20","män","Utrikes född",250
"Botkyrka","20","kvinnor","Född i Sverige",379
"Botkyrka","20","kvinnor","Utrikes född",136
"Botkyrka","21","män","Född i Sverige",384
"Botkyrka","21","män","Utrikes född",237
"Botkyrka","21","kvinnor","Född i Sverige",371
"Botkyrka","21","kvinnor","Utrikes född",177
"Botkyrka","22","män","Född i Sverige",384
"Botkyrka","22","män","Utrikes född",216
"Botkyrka","22","kvinnor","Född i Sverige",335
"Botkyrka","22","kvinnor","Utrikes född",197
"Botkyrka","23","män","Född i Sverige",392
"Botkyrka","23","män","Utrikes född",245
"Botkyrka","23","kvinnor","Född i Sverige",330
"Botkyrka","23","kvinnor","Utrikes född",225
"Botkyrka","24","män","Född i Sverige",430
"Botkyrka","24","män","Utrikes född",265
"Botkyrka","24","kvinnor","Född i Sverige",395
"Botkyrka","24","kvinnor","Utrikes född",240
"Botkyrka","25","män","Född i Sverige",402
"Botkyrka","25","män","Utrikes född",289
"Botkyrka","25","kvinnor","Född i Sverige",421
"Botkyrka","25","kvinnor","Utrikes född",260
"Salem","12","män","Född i Sverige",146
"Salem","12","män","Utrikes född",26
"Salem","12","kvinnor","Född i Sverige",113
"Salem","12","kvinnor","Utrikes född",15
"Salem","13","män","Född i Sverige",126
"Salem","13","män","Utrikes född",5
"Salem","13","kvinnor","Född i Sverige",119
"Salem","13","kvinnor","Utrikes född",12
"Salem","14","män","Född i Sverige",117
"Salem","14","män","Utrikes född",16
"Salem","14","kvinnor","Född i Sverige",131
"Salem","14","kvinnor","Utrikes född",14
"Salem","15","män","Född i Sverige",105
"Salem","15","män","Utrikes född",13
"Salem","15","kvinnor","Född i Sverige",117
"Salem","15","kvinnor","Utrikes född",11
"Salem","16","män","Född i Sverige",107
"Salem","16","män","Utrikes född",12
"Salem","16","kvinnor","Född i Sverige",106
"Salem","16","kvinnor","Utrikes född",18
"Salem","17","män","Född i Sverige",115
"Salem","17","män","Utrikes född",18
"Salem","17","kvinnor","Född i Sverige",97
"Salem","17","kvinnor","Utrikes född",17
"Salem","18","män","Född i Sverige",109
"Salem","18","män","Utrikes född",14
"Salem","18","kvinnor","Född i Sverige",90
"Salem","18","kvinnor","Utrikes född",15
"Salem","19","män","Född i Sverige",85
"Salem","19","män","Utrikes född",24
"Salem","19","kvinnor","Född i Sverige",92
"Salem","19","kvinnor","Utrikes född",19
"Salem","20","män","Född i Sverige",74
"Salem","20","män","Utrikes född",28
"Salem","20","kvinnor","Född i Sverige",80
"Salem","20","kvinnor","Utrikes född",10
"Salem","21","män","Född i Sverige",80
"Salem","21","män","Utrikes född",18
"Salem","21","kvinnor","Född i Sverige",73
"Salem","21","kvinnor","Utrikes född",14
"Salem","22","män","Född i Sverige",56
"Salem","22","män","Utrikes född",21
"Salem","22","kvinnor","Född i Sverige",47
"Salem","22","kvinnor","Utrikes född",15
"Salem","23","män","Född i Sverige",56
"Salem","23","män","Utrikes född",13
"Salem","23","kvinnor","Född i Sverige",66
"Salem","23","kvinnor","Utrikes född",16
"Salem","24","män","Född i Sverige",71
"Salem","24","män","Utrikes född",17
"Salem","24","kvinnor","Född i Sverige",58
"Salem","24","kvinnor","Utrikes född",13
"Salem","25","män","Född i Sverige",62
"Salem","25","män","Utrikes född",16
"Salem","25","kvinnor","Född i Sverige",65
"Salem","25","kvinnor","Utrikes född",15
"Haninge","12","män","Född i Sverige",501
"Haninge","12","män","Utrikes född",95
"Haninge","12","kvinnor","Född i Sverige",504
"Haninge","12","kvinnor","Utrikes född",73
"Haninge","13","män","Född i Sverige",498
"Haninge","13","män","Utrikes född",93
"Haninge","13","kvinnor","Född i Sverige",495
"Haninge","13","kvinnor","Utrikes född",85
"Haninge","14","män","Född i Sverige",456
"Haninge","14","män","Utrikes född",92
"Haninge","14","kvinnor","Född i Sverige",471
"Haninge","14","kvinnor","Utrikes född",87
"Haninge","15","män","Född i Sverige",474
"Haninge","15","män","Utrikes född",99
"Haninge","15","kvinnor","Född i Sverige",431
"Haninge","15","kvinnor","Utrikes född",66
"Haninge","16","män","Född i Sverige",490
"Haninge","16","män","Utrikes född",101
"Haninge","16","kvinnor","Född i Sverige",424
"Haninge","16","kvinnor","Utrikes född",101
"Haninge","17","män","Född i Sverige",439
"Haninge","17","män","Utrikes född",101
"Haninge","17","kvinnor","Född i Sverige",436
"Haninge","17","kvinnor","Utrikes född",110
"Haninge","18","män","Född i Sverige",412
"Haninge","18","män","Utrikes född",120
"Haninge","18","kvinnor","Född i Sverige",384
"Haninge","18","kvinnor","Utrikes född",106
"Haninge","19","män","Född i Sverige",376
"Haninge","19","män","Utrikes född",154
"Haninge","19","kvinnor","Född i Sverige",370
"Haninge","19","kvinnor","Utrikes född",105
"Haninge","20","män","Född i Sverige",401
"Haninge","20","män","Utrikes född",197
"Haninge","20","kvinnor","Född i Sverige",388
"Haninge","20","kvinnor","Utrikes född",140
"Haninge","21","män","Född i Sverige",352
"Haninge","21","män","Utrikes född",172
"Haninge","21","kvinnor","Född i Sverige",377
"Haninge","21","kvinnor","Utrikes född",104
"Haninge","22","män","Född i Sverige",395
"Haninge","22","män","Utrikes född",134
"Haninge","22","kvinnor","Född i Sverige",360
"Haninge","22","kvinnor","Utrikes född",141
"Haninge","23","män","Född i Sverige",380
"Haninge","23","män","Utrikes född",143
"Haninge","23","kvinnor","Född i Sverige",382
"Haninge","23","kvinnor","Utrikes född",156
"Haninge","24","män","Född i Sverige",458
"Haninge","24","män","Utrikes född",177
"Haninge","24","kvinnor","Född i Sverige",421
"Haninge","24","kvinnor","Utrikes född",162
"Haninge","25","män","Född i Sverige",463
"Haninge","25","män","Utrikes född",173
"Haninge","25","kvinnor","Född i Sverige",424
"Haninge","25","kvinnor","Utrikes född",190
"Tyresö","12","män","Född i Sverige",325
"Tyresö","12","män","Utrikes född",25
"Tyresö","12","kvinnor","Född i Sverige",334
"Tyresö","12","kvinnor","Utrikes född",33
"Tyresö","13","män","Född i Sverige",328
"Tyresö","13","män","Utrikes född",23
"Tyresö","13","kvinnor","Född i Sverige",322
"Tyresö","13","kvinnor","Utrikes född",19
"Tyresö","14","män","Född i Sverige",376
"Tyresö","14","män","Utrikes född",30
"Tyresö","14","kvinnor","Född i Sverige",282
"Tyresö","14","kvinnor","Utrikes född",33
"Tyresö","15","män","Född i Sverige",341
"Tyresö","15","män","Utrikes född",49
"Tyresö","15","kvinnor","Född i Sverige",324
"Tyresö","15","kvinnor","Utrikes född",23
"Tyresö","16","män","Född i Sverige",296
"Tyresö","16","män","Utrikes född",37
"Tyresö","16","kvinnor","Född i Sverige",284
"Tyresö","16","kvinnor","Utrikes född",25
"Tyresö","17","män","Född i Sverige",302
"Tyresö","17","män","Utrikes född",29
"Tyresö","17","kvinnor","Född i Sverige",315
"Tyresö","17","kvinnor","Utrikes född",33
"Tyresö","18","män","Född i Sverige",293
"Tyresö","18","män","Utrikes född",48
"Tyresö","18","kvinnor","Född i Sverige",261
"Tyresö","18","kvinnor","Utrikes född",31
"Tyresö","19","män","Född i Sverige",283
"Tyresö","19","män","Utrikes född",51
"Tyresö","19","kvinnor","Född i Sverige",244
"Tyresö","19","kvinnor","Utrikes född",26
"Tyresö","20","män","Född i Sverige",229
"Tyresö","20","män","Utrikes född",72
"Tyresö","20","kvinnor","Född i Sverige",229
"Tyresö","20","kvinnor","Utrikes född",31
"Tyresö","21","män","Född i Sverige",231
"Tyresö","21","män","Utrikes född",64
"Tyresö","21","kvinnor","Född i Sverige",189
"Tyresö","21","kvinnor","Utrikes född",22
"Tyresö","22","män","Född i Sverige",208
"Tyresö","22","män","Utrikes född",51
"Tyresö","22","kvinnor","Född i Sverige",195
"Tyresö","22","kvinnor","Utrikes född",31
"Tyresö","23","män","Född i Sverige",214
"Tyresö","23","män","Utrikes född",35
"Tyresö","23","kvinnor","Född i Sverige",187
"Tyresö","23","kvinnor","Utrikes född",43
"Tyresö","24","män","Född i Sverige",248
"Tyresö","24","män","Utrikes född",43
"Tyresö","24","kvinnor","Född i Sverige",201
"Tyresö","24","kvinnor","Utrikes född",36
"Tyresö","25","män","Född i Sverige",224
"Tyresö","25","män","Utrikes född",55
"Tyresö","25","kvinnor","Född i Sverige",201
"Tyresö","25","kvinnor","Utrikes född",47
"Upplands-Bro","12","män","Född i Sverige",154
