"region","kön","ålder","MedTyp","X2018"
"Ekerö","totalt","totalt 20+ år","Median",358.2
"Ekerö","totalt","20-24 år","Medelvärde",166.5
"Ekerö","totalt","20-24 år","Median",154.9
"Huddinge","män","totalt 16+ år","Medelvärde",354.7
"Huddinge","män","totalt 16+ år","Median",331.4
"Huddinge","män","16-19 år","Medelvärde",22.2
"Huddinge","män","16-19 år","Median",5.6
"Huddinge","män","totalt 20+ år","Medelvärde",377.5
"Huddinge","män","totalt 20+ år","Median",350
"Huddinge","män","20-24 år","Medelvärde",168.6
"Huddinge","män","20-24 år","Median",141.4
"Huddinge","kvinnor","totalt 16+ år","Medelvärde",285.7
"Huddinge","kvinnor","totalt 16+ år","Median",263.8
"Huddinge","kvinnor","16-19 år","Medelvärde",28.7
"Huddinge","kvinnor","16-19 år","Median",7.8
"Huddinge","kvinnor","totalt 20+ år","Medelvärde",302.3
"Huddinge","kvinnor","totalt 20+ år","Median",280.3
"Huddinge","kvinnor","20-24 år","Medelvärde",144.2
"Huddinge","kvinnor","20-24 år","Median",123.6
"Huddinge","totalt","totalt 16+ år","Medelvärde",320.5
"Huddinge","totalt","totalt 16+ år","Median",296.4
"Huddinge","totalt","16-19 år","Medelvärde",25.3
"Huddinge","totalt","16-19 år","Median",6.3
"Huddinge","totalt","totalt 20+ år","Medelvärde",340.1
"Huddinge","totalt","totalt 20+ år","Median",313.4
"Huddinge","totalt","20-24 år","Medelvärde",156.7
"Huddinge","totalt","20-24 år","Median",132.5
"Botkyrka","män","totalt 16+ år","Medelvärde",298
"Botkyrka","män","totalt 16+ år","Median",288.3
"Botkyrka","män","16-19 år","Medelvärde",22.3
"Botkyrka","män","16-19 år","Median",5.9
"Botkyrka","män","totalt 20+ år","Medelvärde",317
"Botkyrka","män","totalt 20+ år","Median",304.1
"Botkyrka","män","20-24 år","Medelvärde",178.4
"Botkyrka","män","20-24 år","Median",163.3
"Botkyrka","kvinnor","totalt 16+ år","Medelvärde",240.7
"Botkyrka","kvinnor","totalt 16+ år","Median",221.6
"Botkyrka","kvinnor","16-19 år","Medelvärde",26.5
"Botkyrka","kvinnor","16-19 år","Median",5.9
"Botkyrka","kvinnor","totalt 20+ år","Medelvärde",254.4
"Botkyrka","kvinnor","totalt 20+ år","Median",236.7
"Botkyrka","kvinnor","20-24 år","Medelvärde",149.1
"Botkyrka","kvinnor","20-24 år","Median",130.2
"Botkyrka","totalt","totalt 16+ år","Medelvärde",269.8
"Botkyrka","totalt","totalt 16+ år","Median",255.5
"Botkyrka","totalt","16-19 år","Medelvärde",24.3
"Botkyrka","totalt","16-19 år","Median",5.9
"Botkyrka","totalt","totalt 20+ år","Medelvärde",286.2
"Botkyrka","totalt","totalt 20+ år","Median",271.2
"Botkyrka","totalt","20-24 år","Medelvärde",164.3
"Botkyrka","totalt","20-24 år","Median",145.4
"Salem","män","totalt 16+ år","Medelvärde",385.4
"Salem","män","totalt 16+ år","Median",362.4
"Salem","män","16-19 år","Medelvärde",21.3
"Salem","män","16-19 år","Median",4.5
"Salem","män","totalt 20+ år","Medelvärde",416.7
"Salem","män","totalt 20+ år","Median",381.3
"Salem","män","20-24 år","Medelvärde",179.5
"Salem","män","20-24 år","Median",173.2
"Salem","kvinnor","totalt 16+ år","Medelvärde",294.7
"Salem","kvinnor","totalt 16+ år","Median",275.8
"Salem","kvinnor","16-19 år","Medelvärde",25.1
"Salem","kvinnor","16-19 år","Median",7.6
"Salem","kvinnor","totalt 20+ år","Medelvärde",314
"Salem","kvinnor","totalt 20+ år","Median",294.4
"Salem","kvinnor","20-24 år","Medelvärde",142.9
"Salem","kvinnor","20-24 år","Median",133.5
"Salem","totalt","totalt 16+ år","Medelvärde",339.1
"Salem","totalt","totalt 16+ år","Median",317.8
"Salem","totalt","16-19 år","Medelvärde",23.1
"Salem","totalt","16-19 år","Median",6
"Salem","totalt","totalt 20+ år","Medelvärde",363.9
"Salem","totalt","totalt 20+ år","Median",337.3
"Salem","totalt","20-24 år","Medelvärde",161.9
"Salem","totalt","20-24 år","Median",144.9
"Haninge","män","totalt 16+ år","Medelvärde",334.7
"Haninge","män","totalt 16+ år","Median",331.2
"Haninge","män","16-19 år","Medelvärde",25.4
"Haninge","män","16-19 år","Median",6.4
"Haninge","män","totalt 20+ år","Medelvärde",354.2
"Haninge","män","totalt 20+ år","Median",345
"Haninge","män","20-24 år","Medelvärde",196.8
"Haninge","män","20-24 år","Median",193.9
"Haninge","kvinnor","totalt 16+ år","Medelvärde",264.6
"Haninge","kvinnor","totalt 16+ år","Median",251.7
"Haninge","kvinnor","16-19 år","Medelvärde",29.1
"Haninge","kvinnor","16-19 år","Median",9.6
"Haninge","kvinnor","totalt 20+ år","Medelvärde",279.1
"Haninge","kvinnor","totalt 20+ år","Median",265
"Haninge","kvinnor","20-24 år","Medelvärde",168.6
"Haninge","kvinnor","20-24 år","Median",167.9
"Haninge","totalt","totalt 16+ år","Medelvärde",300
"Haninge","totalt","totalt 16+ år","Median",289.8
"Haninge","totalt","16-19 år","Medelvärde",27.2
"Haninge","totalt","16-19 år","Median",8.9
"Haninge","totalt","totalt 20+ år","Medelvärde",317
"Haninge","totalt","totalt 20+ år","Median",304.6
"Haninge","totalt","20-24 år","Medelvärde",183.2
"Haninge","totalt","20-24 år","Median",180.2
"Tyresö","män","totalt 16+ år","Medelvärde",395.5
"Tyresö","män","totalt 16+ år","Median",359.2
"Tyresö","män","16-19 år","Medelvärde",21.7
"Tyresö","män","16-19 år","Median",3.9
"Tyresö","män","totalt 20+ år","Medelvärde",424.2
"Tyresö","män","totalt 20+ år","Median",377.8
"Tyresö","män","20-24 år","Medelvärde",175
"Tyresö","män","20-24 år","Median",160.6
"Tyresö","kvinnor","totalt 16+ år","Medelvärde",308.7
"Tyresö","kvinnor","totalt 16+ år","Median",286.5
"Tyresö","kvinnor","16-19 år","Medelvärde",28.3
"Tyresö","kvinnor","16-19 år","Median",10.3
"Tyresö","kvinnor","totalt 20+ år","Medelvärde",328.5
"Tyresö","kvinnor","totalt 20+ år","Median",303.3
"Tyresö","kvinnor","20-24 år","Medelvärde",164.6
"Tyresö","kvinnor","20-24 år","Median",164.6
"Tyresö","totalt","totalt 16+ år","Medelvärde",351.7
"Tyresö","totalt","totalt 16+ år","Median",319.2
"Tyresö","totalt","16-19 år","Medelvärde",24.9
"Tyresö","totalt","16-19 år","Median",7.1
"Tyresö","totalt","totalt 20+ år","Medelvärde",375.8
"Tyresö","totalt","totalt 20+ år","Median",338.6
"Tyresö","totalt","20-24 år","Medelvärde",170.3
"Tyresö","totalt","20-24 år","Median",162.5
"Upplands-Bro","män","totalt 16+ år","Medelvärde",350.2
"Upplands-Bro","män","totalt 16+ år","Median",342.7
"Upplands-Bro","män","16-19 år","Medelvärde",24.4
"Upplands-Bro","män","16-19 år","Median",6.5
"Upplands-Bro","män","totalt 20+ år","Medelvärde",371.1
"Upplands-Bro","män","totalt 20+ år","Median",356.3
"Upplands-Bro","män","20-24 år","Medelvärde",209.7
"Upplands-Bro","män","20-24 år","Median",214.3
"Upplands-Bro","kvinnor","totalt 16+ år","Medelvärde",266.1
"Upplands-Bro","kvinnor","totalt 16+ år","Median",250.4
"Upplands-Bro","kvinnor","16-19 år","Medelvärde",21.9
"Upplands-Bro","kvinnor","16-19 år","Median",7
"Upplands-Bro","kvinnor","totalt 20+ år","Medelvärde",281.2
"Upplands-Bro","kvinnor","totalt 20+ år","Median",264.3
"Upplands-Bro","kvinnor","20-24 år","Medelvärde",169.9
"Upplands-Bro","kvinnor","20-24 år","Median",162.8
"Upplands-Bro","totalt","totalt 16+ år","Medelvärde",308.6
"Upplands-Bro","totalt","totalt 16+ år","Median",296.3
"Upplands-Bro","totalt","16-19 år","Medelvärde",23.2
"Upplands-Bro","totalt","16-19 år","Median",6.8
"Upplands-Bro","totalt","totalt 20+ år","Medelvärde",326.5
"Upplands-Bro","totalt","totalt 20+ år","Median",310.8
"Upplands-Bro","totalt","20-24 år","Medelvärde",191.3
"Upplands-Bro","totalt","20-24 år","Median",181.9
"Nykvarn","män","totalt 16+ år","Medelvärde",393.5
"Nykvarn","män","totalt 16+ år","Median",385.6
"Nykvarn","män","16-19 år","Medelvärde",28.7
"Nykvarn","män","16-19 år","Median",11.9
"Nykvarn","män","totalt 20+ år","Medelvärde",422.4
"Nykvarn","män","totalt 20+ år","Median",401
"Nykvarn","män","20-24 år","Medelvärde",224.5
"Nykvarn","män","20-24 år","Median",243.2
"Nykvarn","kvinnor","totalt 16+ år","Medelvärde",305.5
"Nykvarn","kvinnor","totalt 16+ år","Median",302.3
"Nykvarn","kvinnor","16-19 år","Medelvärde",29.3
"Nykvarn","kvinnor","16-19 år","Median",14.1
"Nykvarn","kvinnor","totalt 20+ år","Medelvärde",324.2
"Nykvarn","kvinnor","totalt 20+ år","Median",316.1
"Nykvarn","kvinnor","20-24 år","Medelvärde",181.8
"Nykvarn","kvinnor","20-24 år","Median",186.3
"Nykvarn","totalt","totalt 16+ år","Medelvärde",350.4
"Nykvarn","totalt","totalt 16+ år","Median",340
"Nykvarn","totalt","16-19 år","Medelvärde",29
"Nykvarn","totalt","16-19 år","Median",12.8
"Nykvarn","totalt","totalt 20+ år","Medelvärde",373.9
"Nykvarn","totalt","totalt 20+ år","Median",356.9
"Nykvarn","totalt","20-24 år","Medelvärde",206.2
"Nykvarn","totalt","20-24 år","Median",215.4
"Täby","män","totalt 16+ år","Medelvärde",500.9
"Täby","män","totalt 16+ år","Median",408.8
"Täby","män","16-19 år","Medelvärde",22.5
"Täby","män","16-19 år","Median",5.3
"Täby","män","totalt 20+ år","Medelvärde",535.7
"Täby","män","totalt 20+ år","Median",435
"Täby","män","20-24 år","Medelvärde",155.4
"Täby","män","20-24 år","Median",130.6
"Täby","kvinnor","totalt 16+ år","Medelvärde",354.8
"Täby","kvinnor","totalt 16+ år","Median",306.7
"Täby","kvinnor","16-19 år","Medelvärde",27.4
"Täby","kvinnor","16-19 år","Median",9.1
"Täby","kvinnor","totalt 20+ år","Medelvärde",376.2
"Täby","kvinnor","totalt 20+ år","Median",326.4
"Täby","kvinnor","20-24 år","Medelvärde",148.8
"Täby","kvinnor","20-24 år","Median",134.6
"Täby","totalt","totalt 16+ år","Medelvärde",426.6
"Täby","totalt","totalt 16+ år","Median",353.8
"Täby","totalt","16-19 år","Medelvärde",24.9
"Täby","totalt","16-19 år","Median",7.2
"Täby","totalt","totalt 20+ år","Medelvärde",454.3
"Täby","totalt","totalt 20+ år","Median",375.2
"Täby","totalt","20-24 år","Medelvärde",152.3
"Täby","totalt","20-24 år","Median",133
"Danderyd","män","totalt 16+ år","Medelvärde",682
"Danderyd","män","totalt 16+ år","Median",430.5
"Danderyd","män","16-19 år","Medelvärde",20.5
"Danderyd","män","16-19 år","Median",5.7
"Danderyd","män","totalt 20+ år","Medelvärde",742.8
"Danderyd","män","totalt 20+ år","Median",471.7
"Danderyd","män","20-24 år","Medelvärde",120.5
"Danderyd","män","20-24 år","Median",79.9
"Danderyd","kvinnor","totalt 16+ år","Medelvärde",406.1
"Danderyd","kvinnor","totalt 16+ år","Median",308.4
"Danderyd","kvinnor","16-19 år","Medelvärde",24.7
"Danderyd","kvinnor","16-19 år","Median",8.7
"Danderyd","kvinnor","totalt 20+ år","Medelvärde",432.8
"Danderyd","kvinnor","totalt 20+ år","Median",335
"Danderyd","kvinnor","20-24 år","Medelvärde",110.4
"Danderyd","kvinnor","20-24 år","Median",73.6
"Danderyd","totalt","totalt 16+ år","Medelvärde",539.8
"Danderyd","totalt","totalt 16+ år","Median",361.3
"Danderyd","totalt","16-19 år","Medelvärde",22.4
"Danderyd","totalt","16-19 år","Median",7.4
"Danderyd","totalt","totalt 20+ år","Medelvärde",581.5
"Danderyd","totalt","totalt 20+ år","Median",395
"Danderyd","totalt","20-24 år","Medelvärde",115.7
"Danderyd","totalt","20-24 år","Median",76.5
"Sollentuna","män","totalt 16+ år","Medelvärde",439.7
"Sollentuna","män","totalt 16+ år","Median",366.9
"Sollentuna","män","16-19 år","Medelvärde",21.9
"Sollentuna","män","16-19 år","Median",4.6
"Sollentuna","män","totalt 20+ år","Medelvärde",472.4
"Sollentuna","män","totalt 20+ år","Median",391.1
"Sollentuna","män","20-24 år","Medelvärde",155.8
"Sollentuna","män","20-24 år","Median",131.8
"Sollentuna","kvinnor","totalt 16+ år","Medelvärde",334.8
"Sollentuna","kvinnor","totalt 16+ år","Median",290.9
"Sollentuna","kvinnor","16-19 år","Medelvärde",25.8
"Sollentuna","kvinnor","16-19 år","Median",9.2
"Sollentuna","kvinnor","totalt 20+ år","Medelvärde",354.5
"Sollentuna","kvinnor","totalt 20+ år","Median",308.9
"Sollentuna","kvinnor","20-24 år","Medelvärde",144.4
"Sollentuna","kvinnor","20-24 år","Median",128.2
"Sollentuna","totalt","totalt 16+ år","Medelvärde",386.9
"Sollentuna","totalt","totalt 16+ år","Median",327.2
"Sollentuna","totalt","16-19 år","Medelvärde",23.7
"Sollentuna","totalt","16-19 år","Median",6.9
"Sollentuna","totalt","totalt 20+ år","Medelvärde",412.6
"Sollentuna","totalt","totalt 20+ år","Median",348
"Sollentuna","totalt","20-24 år","Medelvärde",150.3
"Sollentuna","totalt","20-24 år","Median",129.6
"Stockholm","män","totalt 16+ år","Medelvärde",413
"Stockholm","män","totalt 16+ år","Median",353.1
"Stockholm","män","16-19 år","Medelvärde",22.3
"Stockholm","män","16-19 år","Median",7.7
"Stockholm","män","totalt 20+ år","Medelvärde",432
"Stockholm","män","totalt 20+ år","Median",367
"Stockholm","män","20-24 år","Medelvärde",155.9
"Stockholm","män","20-24 år","Median",122.2
"Stockholm","kvinnor","totalt 16+ år","Medelvärde",322.4
"Stockholm","kvinnor","totalt 16+ år","Median",293.1
"Stockholm","kvinnor","16-19 år","Medelvärde",26.6
"Stockholm","kvinnor","16-19 år","Median",9.3
"Stockholm","kvinnor","totalt 20+ år","Medelvärde",335.3
"Stockholm","kvinnor","totalt 20+ år","Median",304.9
"Stockholm","kvinnor","20-24 år","Medelvärde",145.3
"Stockholm","kvinnor","20-24 år","Median",122.5
"Stockholm","totalt","totalt 16+ år","Medelvärde",366.7
"Stockholm","totalt","totalt 16+ år","Median",320.9
"Stockholm","totalt","16-19 år","Medelvärde",24.4
"Stockholm","totalt","16-19 år","Median",8.5
"Stockholm","totalt","totalt 20+ år","Medelvärde",382.5
"Stockholm","totalt","totalt 20+ år","Median",334
"Stockholm","totalt","20-24 år","Medelvärde",150.5
"Stockholm","totalt","20-24 år","Median",122.3
"Södertälje","män","totalt 16+ år","Medelvärde",309.4
"Södertälje","män","totalt 16+ år","Median",305
"Södertälje","män","16-19 år","Medelvärde",28.5
"Södertälje","män","16-19 år","Median",6.1
"Södertälje","män","totalt 20+ år","Medelvärde",326.8
"Södertälje","män","totalt 20+ år","Median",320.5
"Södertälje","män","20-24 år","Medelvärde",207
"Södertälje","män","20-24 år","Median",204.1
"Södertälje","kvinnor","totalt 16+ år","Medelvärde",235.7
"Södertälje","kvinnor","totalt 16+ år","Median",217.8
"Södertälje","kvinnor","16-19 år","Medelvärde",27.8
"Södertälje","kvinnor","16-19 år","Median",6.1
"Södertälje","kvinnor","totalt 20+ år","Medelvärde",248.6
"Södertälje","kvinnor","totalt 20+ år","Median",231.7
"Södertälje","kvinnor","20-24 år","Medelvärde",158.4
"Södertälje","kvinnor","20-24 år","Median",138.6
"Södertälje","totalt","totalt 16+ år","Medelvärde",273.2
"Södertälje","totalt","totalt 16+ år","Median",260.7
"Södertälje","totalt","16-19 år","Medelvärde",28.2
"Södertälje","totalt","16-19 år","Median",6.1
"Södertälje","totalt","totalt 20+ år","Medelvärde",288.4
"Södertälje","totalt","totalt 20+ år","Median",275.7
"Södertälje","totalt","20-24 år","Medelvärde",184.2
"Södertälje","totalt","20-24 år","Median",168.4
"Nacka","män","totalt 16+ år","Medelvärde",463.7
"Nacka","män","totalt 16+ år","Median",382.8
"Nacka","män","16-19 år","Medelvärde",23
"Nacka","män","16-19 år","Median",7.1
"Nacka","män","totalt 20+ år","Medelvärde",495.4
"Nacka","män","totalt 20+ år","Median",404.7
"Nacka","män","20-24 år","Medelvärde",156.3
"Nacka","män","20-24 år","Median",124.9
"Nacka","kvinnor","totalt 16+ år","Medelvärde",345.2
"Nacka","kvinnor","totalt 16+ år","Median",306.9
"Nacka","kvinnor","16-19 år","Medelvärde",29
"Nacka","kvinnor","16-19 år","Median",9.9
"Nacka","kvinnor","totalt 20+ år","Medelvärde",364.7
"Nacka","kvinnor","totalt 20+ år","Median",324.2
"Nacka","kvinnor","20-24 år","Medelvärde",143.8
"Nacka","kvinnor","20-24 år","Median",123.8
"Nacka","totalt","totalt 16+ år","Medelvärde",403.1
"Nacka","totalt","totalt 16+ år","Median",341.2
"Nacka","totalt","16-19 år","Medelvärde",25.8
"Nacka","totalt","16-19 år","Median",8.7
"Nacka","totalt","totalt 20+ år","Medelvärde",428.2
"Nacka","totalt","totalt 20+ år","Median",361
"Nacka","totalt","20-24 år","Medelvärde",150.3
"Nacka","totalt","20-24 år","Median",124.3
"Sundbyberg","män","totalt 16+ år","Medelvärde",378.7
"Sundbyberg","män","totalt 16+ år","Median",355.5
"Sundbyberg","män","16-19 år","Medelvärde",23
"Sundbyberg","män","16-19 år","Median",7.5
"Sundbyberg","män","totalt 20+ år","Medelvärde",392.9
"Sundbyberg","män","totalt 20+ år","Median",364.6
"Sundbyberg","män","20-24 år","Medelvärde",190.9
"Sundbyberg","män","20-24 år","Median",175.3
"Sundbyberg","kvinnor","totalt 16+ år","Medelvärde",309.1
"Sundbyberg","kvinnor","totalt 16+ år","Median",293.8
"Sundbyberg","kvinnor","16-19 år","Medelvärde",25.9
"Sundbyberg","kvinnor","16-19 år","Median",8.4
"Sundbyberg","kvinnor","totalt 20+ år","Medelvärde",319.9
"Sundbyberg","kvinnor","totalt 20+ år","Median",302.8
"Sundbyberg","kvinnor","20-24 år","Medelvärde",171
"Sundbyberg","kvinnor","20-24 år","Median",162.6
"Sundbyberg","totalt","totalt 16+ år","Medelvärde",344
"Sundbyberg","totalt","totalt 16+ år","Median",323.6
"Sundbyberg","totalt","16-19 år","Medelvärde",24.4
"Sundbyberg","totalt","16-19 år","Median",7.9
"Sundbyberg","totalt","totalt 20+ år","Medelvärde",356.5
"Sundbyberg","totalt","totalt 20+ år","Median",332.9
"Sundbyberg","totalt","20-24 år","Medelvärde",180.9
"Sundbyberg","totalt","20-24 år","Median",168.8
"Solna","män","totalt 16+ år","Medelvärde",402.9
"Solna","män","totalt 16+ år","Median",379
"Solna","män","16-19 år","Medelvärde",22.2
"Solna","män","16-19 år","Median",5.1
"Solna","män","totalt 20+ år","Medelvärde",415.8
"Solna","män","totalt 20+ år","Median",388.4
"Solna","män","20-24 år","Medelvärde",153.3
"Solna","män","20-24 år","Median",113.5
"Solna","kvinnor","totalt 16+ år","Medelvärde",317
"Solna","kvinnor","totalt 16+ år","Median",303.1
"Solna","kvinnor","16-19 år","Medelvärde",28.1
"Solna","kvinnor","16-19 år","Median",7.7
"Solna","kvinnor","totalt 20+ år","Medelvärde",326.1
"Solna","kvinnor","totalt 20+ år","Median",311.3
"Solna","kvinnor","20-24 år","Medelvärde",145.2
"Solna","kvinnor","20-24 år","Median",110.9
"Solna","totalt","totalt 16+ år","Medelvärde",359.6
"Solna","totalt","totalt 16+ år","Median",339.3
"Solna","totalt","16-19 år","Medelvärde",25.1
"Solna","totalt","16-19 år","Median",5.8
"Solna","totalt","totalt 20+ år","Medelvärde",370.4
"Solna","totalt","totalt 20+ år","Median",347.3
"Solna","totalt","20-24 år","Medelvärde",149.1
"Solna","totalt","20-24 år","Median",112.1
"Lidingö","män","totalt 16+ år","Medelvärde",566.2
"Lidingö","män","totalt 16+ år","Median",395
"Lidingö","män","16-19 år","Medelvärde",21.4
"Lidingö","män","16-19 år","Median",5.3
